# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-16T10:56:14.906Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   millRpm (Mill Speed): 31.755347989391172 rpm
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.3 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.002 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Viscosity / Consistency (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 0.4 -
#   tauY (Yield Stress (τy)): 5 Pa
#   m (Regularization (m)): 1000 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 128 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 12 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 8.000 mm
#   Critical Speed Nc: 42.34 rpm (0.706 rev/s)
#   Speed Fraction: 75.00 %Nc
#   Angular Velocity omega: 3.3254 rad/s
#   Tip Speed: 1.663 m/s
#   Permeability K_perm: 4.7407e-9 m^2
#   Pore Shear Rate: 9055.7 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,55314.247,183942.674,0.00,0.00,1.8267,0.0000,1008.4721,3.6086e-5
0.0220,2.0000e-3,2307.031,7671.830,1.48,8.78,1.7287,0.9999,1344.9898,6.7513e-6
0.0420,2.0000e-3,2135.271,7100.656,1.44,8.65,1.7292,1.0000,1360.4088,5.3452e-6
0.0620,2.0000e-3,2082.418,6924.899,1.45,8.53,1.7850,0.9998,1370.0933,5.2494e-6
0.0820,2.0000e-3,2078.891,6913.170,1.46,8.40,1.8061,1.0000,1378.3212,5.0390e-6
0.1020,2.0000e-3,2064.056,6863.839,1.46,8.28,1.8368,0.9999,1385.3519,4.5315e-6
0.1220,2.0000e-3,2026.404,6738.628,1.46,8.17,1.8139,0.9999,1391.6138,4.6272e-6
0.1420,2.0000e-3,1990.324,6618.649,1.45,8.08,1.7726,0.9998,1397.7282,4.8454e-6
0.1620,2.0000e-3,1969.667,6549.956,1.44,7.96,1.7421,0.9999,1403.5840,5.0902e-6
0.1820,2.0000e-3,1962.084,6524.739,1.44,7.82,1.7289,1.0000,1409.0923,5.3991e-6
0.2020,2.0000e-3,1952.515,6492.918,1.44,7.69,1.7289,0.9998,1414.2823,5.4047e-6
0.2220,2.0000e-3,1946.155,6471.768,1.44,7.55,1.7571,0.9998,1419.0884,5.3683e-6
0.2420,2.0000e-3,1941.475,6456.206,1.44,7.42,1.7911,0.9998,1423.6562,5.2916e-6
0.2620,2.0000e-3,1938.309,6445.675,1.44,7.28,1.7930,0.9999,1428.0268,5.4472e-6
0.2820,2.0000e-3,1934.236,6432.132,1.44,7.16,1.8265,1.0000,1432.1149,5.3930e-6
0.3020,2.0000e-3,1952.878,6494.125,1.46,7.04,1.8260,0.9999,1436.1150,5.0477e-6
0.3220,2.0000e-3,1984.999,6600.940,1.46,6.94,1.8448,1.0000,1440.2483,4.7992e-6
0.3420,2.0000e-3,1982.239,6591.762,1.46,6.88,1.8545,1.0000,1444.1156,4.7061e-6
0.3620,2.0000e-3,1961.745,6523.610,1.46,6.85,1.8489,1.0000,1447.9846,4.7063e-6
0.3820,2.0000e-3,1941.921,6457.687,1.45,6.82,1.8326,0.9999,1452.2613,4.9403e-6
0.4020,2.0000e-3,1932.217,6425.418,1.45,6.78,1.8255,0.9999,1456.7031,5.1092e-6
0.4220,2.0000e-3,1928.456,6412.911,1.44,6.71,1.8192,1.0000,1461.2206,5.1932e-6
0.4420,2.0000e-3,1924.476,6399.675,1.44,6.64,1.7868,0.9999,1465.6971,5.5236e-6
0.4620,2.0000e-3,1918.786,6380.756,1.44,6.54,1.7348,0.9998,1469.9795,5.4817e-6
0.4820,2.0000e-3,1915.358,6369.356,1.43,6.43,1.7306,0.9996,1474.0310,5.4415e-6
0.5020,2.0000e-3,1913.202,6362.184,1.44,6.31,1.7308,0.9997,1477.8101,5.4134e-6
0.5220,2.0000e-3,1913.641,6363.647,1.44,6.20,1.7301,1.0000,1481.2996,5.1317e-6
0.5420,2.0000e-3,1934.049,6431.511,1.45,6.08,1.7291,1.0000,1484.7625,5.0600e-6
0.5620,2.0000e-3,1965.876,6537.348,1.45,5.97,1.7282,0.9998,1488.2254,4.9619e-6
0.5820,2.0000e-3,1954.524,6499.598,1.46,5.88,1.7279,1.0000,1491.3451,4.9298e-6
0.6020,2.0000e-3,1933.484,6429.632,1.45,5.81,1.7280,1.0000,1494.4660,4.8413e-6
0.6220,2.0000e-3,1914.537,6366.625,1.44,5.76,1.7286,0.9997,1497.9094,4.7671e-6
