# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-15T15:38:54.312Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   speedFraction (Speed Fraction): 75 %Nc
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.3 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.002 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Consistency Index (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 0.6 -
#   tauY (Yield Stress (τy)): 20 Pa
#   m (Regularization (m)): 1000 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 128 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 12 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 8.000 mm
#   Critical Speed Nc: 42.34 rpm (0.706 rev/s)
#   Angular Velocity omega: 3.3254 rad/s
#   Tip Speed: 1.663 m/s
#   Permeability K_perm: 4.7407e-9 m^2
#   Pore Shear Rate: 9055.7 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,55223.933,183642.344,0.00,0.00,1.8396,0.0000,1007.6581,3.6383e-5
0.0220,2.0000e-3,2616.820,8702.005,1.38,8.70,1.7208,0.9976,1339.0911,7.0400e-6
0.0420,2.0000e-3,2430.476,8082.336,1.37,8.49,1.7208,0.9984,1353.2611,5.4836e-6
0.0620,2.0000e-3,2382.535,7922.911,1.38,8.29,1.7609,0.9979,1362.6990,5.5184e-6
0.0820,2.0000e-3,2384.562,7929.652,1.38,8.09,1.7583,0.9980,1370.6084,5.2665e-6
0.1020,2.0000e-3,2367.617,7873.303,1.37,7.92,1.7756,0.9982,1377.3729,4.7472e-6
0.1220,2.0000e-3,2322.473,7723.181,1.38,7.76,1.7384,0.9979,1383.4435,4.8291e-6
0.1420,2.0000e-3,2280.777,7584.523,1.37,7.62,1.7186,0.9984,1389.3285,4.9205e-6
0.1620,2.0000e-3,2259.360,7513.305,1.37,7.45,1.7194,0.9983,1394.9918,5.3512e-6
0.1820,2.0000e-3,2249.352,7480.024,1.36,7.28,1.7202,0.9975,1400.3256,5.6481e-6
0.2020,2.0000e-3,2241.782,7454.848,1.36,7.10,1.7207,0.9943,1405.3655,5.6240e-6
0.2220,2.0000e-3,2235.923,7435.366,1.36,6.93,1.7205,0.9944,1410.0546,5.5625e-6
0.2420,2.0000e-3,2232.249,7423.149,1.36,6.76,1.7195,0.9959,1414.5001,5.4750e-6
0.2620,2.0000e-3,2226.114,7402.746,1.36,6.60,1.7202,0.9954,1418.7345,5.7383e-6
0.2820,2.0000e-3,2222.534,7390.841,1.36,6.46,1.7198,0.9958,1422.6953,5.6840e-6
0.3020,2.0000e-3,2248.938,7478.646,1.38,6.32,1.7195,0.9970,1426.6009,5.3005e-6
0.3220,2.0000e-3,2286.214,7602.605,1.37,6.20,1.7189,0.9973,1430.5806,5.0531e-6
0.3420,2.0000e-3,2285.298,7599.557,1.37,6.10,1.7180,0.9980,1434.3759,4.9042e-6
0.3620,2.0000e-3,2254.867,7498.362,1.37,6.03,1.7181,0.9980,1438.1573,4.6164e-6
0.3820,2.0000e-3,2229.064,7412.558,1.37,5.97,1.7186,0.9984,1442.2453,5.1898e-6
0.4020,2.0000e-3,2214.798,7365.115,1.36,5.90,1.7194,0.9982,1446.4702,5.3484e-6
0.4220,2.0000e-3,2210.085,7349.445,1.36,5.80,1.7201,0.9980,1450.6924,5.4125e-6
