# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-16T04:55:29.515Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   millRpm (Mill Speed): 31.755347989391172 rpm
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.3 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.002 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Viscosity / Consistency (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 1 -
#   tauY (Yield Stress (τy)): 0 Pa
#   m (Regularization (m)): 1000 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 128 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 12 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 8.000 mm
#   Critical Speed Nc: 42.34 rpm (0.706 rev/s)
#   Speed Fraction: 75.00 %Nc
#   Angular Velocity omega: 3.3254 rad/s
#   Tip Speed: 1.663 m/s
#   Permeability K_perm: 4.7407e-9 m^2
#   Pore Shear Rate: 9055.7 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,49610.292,164974.674,0.00,0.00,1.8559,1.0000,1031.9993,3.6362e-5
0.0220,2.0000e-3,3855.431,12820.896,1.27,8.77,1.7179,1.0000,1347.4444,6.9964e-6
0.0420,2.0000e-3,3683.093,12247.803,1.27,8.59,1.7170,1.0000,1360.9984,5.6135e-6
0.0620,2.0000e-3,3653.748,12150.217,1.28,8.43,1.7705,1.0000,1370.3174,5.6502e-6
0.0820,2.0000e-3,3660.346,12172.158,1.29,8.28,1.7880,1.0000,1378.0872,5.3990e-6
0.1020,2.0000e-3,3637.210,12095.222,1.28,8.14,1.8006,1.0000,1384.8093,4.8852e-6
0.1220,2.0000e-3,3587.990,11931.546,1.29,8.02,1.7786,1.0000,1390.9594,5.0010e-6
0.1420,2.0000e-3,3545.711,11790.950,1.28,7.90,1.7413,1.0000,1396.7470,5.0692e-6
0.1620,2.0000e-3,3514.626,11687.580,1.27,7.78,1.7160,1.0000,1402.3535,5.5028e-6
0.1820,2.0000e-3,3500.392,11640.246,1.27,7.65,1.7162,1.0000,1407.6141,5.7818e-6
0.2020,2.0000e-3,3490.613,11607.727,1.27,7.51,1.7170,1.0000,1412.5467,5.7451e-6
0.2220,2.0000e-3,3480.116,11572.821,1.27,7.37,1.7185,1.0000,1417.1875,5.6696e-6
0.2420,2.0000e-3,3473.417,11550.542,1.27,7.24,1.7392,1.0000,1421.5353,5.5893e-6
0.2620,2.0000e-3,3472.789,11548.455,1.27,7.11,1.7552,1.0000,1425.5978,5.8704e-6
0.2820,2.0000e-3,3485.405,11590.409,1.27,7.00,1.7768,1.0000,1429.3864,5.8059e-6
0.3020,2.0000e-3,3526.415,11726.782,1.29,6.89,1.7704,1.0000,1433.2226,5.4172e-6
0.3220,2.0000e-3,3558.090,11832.117,1.28,6.81,1.7919,1.0000,1436.9339,5.1907e-6
0.3420,2.0000e-3,3556.486,11826.782,1.28,6.74,1.8012,1.0000,1440.5518,5.0599e-6
0.3620,2.0000e-3,3523.537,11717.213,1.28,6.69,1.8004,1.0000,1444.2164,4.7849e-6
0.3820,2.0000e-3,3495.558,11624.173,1.28,6.66,1.7860,1.0000,1448.2162,5.3548e-6
0.4020,2.0000e-3,3474.680,11554.743,1.27,6.62,1.7674,1.0000,1452.4880,5.4898e-6
0.4220,2.0000e-3,3465.400,11523.882,1.27,6.56,1.7551,1.0000,1456.7419,5.5408e-6
0.4420,2.0000e-3,3458.688,11501.564,1.27,6.47,1.7292,1.0000,1460.8716,5.8584e-6
0.4620,2.0000e-3,3448.930,11469.116,1.27,6.37,1.7185,1.0000,1464.7704,5.7917e-6
0.4820,2.0000e-3,3445.220,11456.777,1.27,6.27,1.7189,1.0000,1468.4158,5.8432e-6
0.5020,2.0000e-3,3448.496,11467.671,1.27,6.16,1.7164,1.0000,1471.7756,5.8048e-6
0.5220,2.0000e-3,3468.433,11533.970,1.28,6.06,1.7162,1.0000,1474.8915,5.4609e-6
0.5420,2.0000e-3,3513.426,11683.588,1.29,5.95,1.7171,1.0000,1478.0815,5.4602e-6
0.5620,2.0000e-3,3535.555,11757.177,1.28,5.86,1.7172,1.0000,1481.0214,5.2482e-6
0.5820,2.0000e-3,3528.497,11733.707,1.28,5.77,1.7173,1.0000,1483.8464,4.7828e-6
0.6020,2.0000e-3,3494.333,11620.097,1.28,5.70,1.7172,1.0000,1486.6426,5.1317e-6
0.6220,2.0000e-3,3466.456,11527.394,1.28,5.65,1.7202,1.0000,1489.7742,5.1509e-6
0.6420,2.0000e-3,3450.594,11474.646,1.27,5.60,1.7345,1.0000,1493.1097,5.5227e-6
0.6620,2.0000e-3,3444.679,11454.979,1.27,5.53,1.7424,1.0000,1496.4349,5.8164e-6
0.6820,2.0000e-3,3438.961,11435.962,1.27,5.45,1.7392,1.0000,1499.6827,5.7910e-6
0.7020,2.0000e-3,3432.754,11415.321,1.27,5.37,1.7271,1.0000,1502.7636,5.5410e-6
0.7220,2.0000e-3,3431.097,11409.813,1.27,5.29,1.7207,1.0000,1505.6479,5.5317e-6
0.7420,2.0000e-3,3438.297,11433.755,1.27,5.22,1.7164,1.0000,1508.3361,5.7833e-6
0.7620,2.0000e-3,3466.687,11528.162,1.28,5.13,1.7164,1.0000,1510.9256,5.7350e-6
0.7820,2.0000e-3,3513.750,11684.668,1.29,5.05,1.7172,1.0000,1513.6398,5.3938e-6
0.8020,2.0000e-3,3525.538,11723.869,1.28,4.98,1.7172,1.0000,1516.0976,5.1409e-6
0.8220,2.0000e-3,3511.222,11676.261,1.29,4.90,1.7172,1.0000,1518.5263,4.9726e-6
0.8420,2.0000e-3,3479.612,11571.144,1.28,4.85,1.7171,1.0000,1521.0123,4.8819e-6
0.8620,2.0000e-3,3453.822,11485.383,1.27,4.80,1.7159,1.0000,1523.8791,5.4151e-6
0.8820,2.0000e-3,3441.219,11443.473,1.27,4.74,1.7160,1.0000,1526.8519,5.5751e-6
0.9020,2.0000e-3,3437.847,11432.257,1.27,4.66,1.7165,1.0000,1529.7490,5.5053e-6
0.9220,2.0000e-3,3433.672,11418.375,1.27,4.58,1.7178,1.0000,1532.5131,5.8655e-6
0.9420,2.0000e-3,3429.228,11403.596,1.27,4.50,1.7190,1.0000,1535.1034,5.8042e-6
0.9620,2.0000e-3,3431.746,11411.970,1.27,4.43,1.7184,1.0000,1537.5123,5.8480e-6
0.9820,2.0000e-3,3443.689,11451.685,1.27,4.36,1.7166,1.0000,1539.7391,5.7693e-6
1.0020,2.0000e-3,3478.083,11566.061,1.28,4.28,1.7170,1.0000,1541.9533,5.3790e-6
