# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-15T15:47:50.731Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   speedFraction (Speed Fraction): 75 %Nc
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.3 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.002 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Consistency Index (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 1 -
#   tauY (Yield Stress (τy)): 20 Pa
#   m (Regularization (m)): 1000 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 128 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 12 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 8.000 mm
#   Critical Speed Nc: 42.34 rpm (0.706 rev/s)
#   Angular Velocity omega: 3.3254 rad/s
#   Tip Speed: 1.663 m/s
#   Permeability K_perm: 4.7407e-9 m^2
#   Pore Shear Rate: 9055.7 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,52540.067,174717.382,0.00,0.00,1.8549,0.0000,1027.1811,3.6360e-5
0.0220,2.0000e-3,3789.015,12600.036,1.28,8.57,1.7166,0.9979,1347.7662,6.8732e-6
0.0420,2.0000e-3,3604.013,11984.829,1.28,8.32,1.7157,0.9982,1361.2545,5.6006e-6
0.0620,2.0000e-3,3567.540,11863.542,1.29,8.08,1.7278,0.9982,1370.4929,5.6385e-6
0.0820,2.0000e-3,3561.758,11844.313,1.29,7.86,1.7179,0.9978,1378.1813,5.3821e-6
0.1020,2.0000e-3,3548.983,11801.833,1.29,7.67,1.7247,0.9982,1384.8250,4.8687e-6
0.1220,2.0000e-3,3497.962,11632.167,1.29,7.48,1.7156,0.9981,1390.9194,4.9781e-6
0.1420,2.0000e-3,3446.403,11460.710,1.28,7.31,1.7150,0.9984,1396.6706,5.0615e-6
0.1620,2.0000e-3,3416.138,11360.068,1.28,7.14,1.7144,0.9974,1402.2603,5.4843e-6
0.1820,2.0000e-3,3413.338,11350.755,1.28,6.96,1.7146,0.9966,1407.5275,5.7719e-6
0.2020,2.0000e-3,3406.847,11329.170,1.28,6.78,1.7153,0.9943,1412.5276,5.7394e-6
0.2220,2.0000e-3,3403.833,11319.147,1.27,6.61,1.7169,0.9934,1417.2670,5.6610e-6
0.2420,2.0000e-3,3396.654,11295.275,1.27,6.44,1.7174,0.9963,1421.7341,5.5782e-6
0.2620,2.0000e-3,3391.321,11277.540,1.28,6.28,1.7157,0.9965,1425.9111,5.8574e-6
0.2820,2.0000e-3,3392.692,11282.099,1.28,6.14,1.7148,0.9969,1429.8169,5.8010e-6
0.3020,2.0000e-3,3430.254,11407.010,1.29,6.01,1.7158,0.9972,1433.7676,5.4132e-6
0.3220,2.0000e-3,3460.585,11507.872,1.29,5.89,1.7160,0.9976,1437.6164,5.1829e-6
0.3420,2.0000e-3,3464.349,11520.390,1.29,5.79,1.7158,0.9981,1441.3896,5.0346e-6
0.3620,2.0000e-3,3421.686,11378.518,1.29,5.70,1.7155,0.9982,1445.1870,4.7560e-6
0.3820,2.0000e-3,3389.713,11272.192,1.28,5.63,1.7148,0.9982,1449.2271,5.3265e-6
0.4020,2.0000e-3,3369.392,11204.616,1.28,5.55,1.7142,0.9973,1453.4431,5.4717e-6
0.4220,2.0000e-3,3370.363,11207.847,1.28,5.45,1.7145,0.9964,1457.5967,5.5221e-6
