# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-15T15:59:11.714Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   speedFraction (Speed Fraction): 85 %Nc
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.3 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.002 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Consistency Index (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 0.7 -
#   tauY (Yield Stress (τy)): 5 Pa
#   m (Regularization (m)): 1000 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 128 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 12 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 8.000 mm
#   Critical Speed Nc: 42.34 rpm (0.706 rev/s)
#   Angular Velocity omega: 3.7688 rad/s
#   Tip Speed: 1.884 m/s
#   Permeability K_perm: 4.7407e-9 m^2
#   Pore Shear Rate: 10263.2 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,62110.675,234082.747,0.00,0.00,2.0884,0.0000,1299.4603,4.1298e-5
0.0220,2.0000e-3,3243.848,12225.417,1.53,9.96,1.9518,0.9998,1721.8162,8.4931e-6
0.0420,2.0000e-3,3042.459,11466.421,1.52,9.79,1.9537,0.9999,1740.5369,6.7950e-6
0.0620,2.0000e-3,3003.269,11318.722,1.54,9.62,2.0350,0.9998,1753.6037,6.0879e-6
0.0820,2.0000e-3,3003.186,11318.410,1.53,9.46,2.0815,0.9999,1764.4684,5.7760e-6
0.1020,2.0000e-3,2949.509,11116.112,1.54,9.30,2.0394,0.9998,1773.7860,5.4330e-6
0.1220,2.0000e-3,2890.787,10894.801,1.53,9.18,2.0279,0.9998,1782.5342,5.8213e-6
0.1420,2.0000e-3,2854.252,10757.107,1.52,9.03,1.9804,0.9998,1790.9180,6.1680e-6
0.1620,2.0000e-3,2837.847,10695.279,1.52,8.86,1.9505,0.9998,1798.7350,6.4301e-6
0.1820,2.0000e-3,2828.183,10658.856,1.52,8.68,1.9513,0.9986,1806.0491,6.5306e-6
0.2020,2.0000e-3,2817.376,10618.128,1.51,8.51,1.9769,0.9998,1812.7983,6.3100e-6
0.2220,2.0000e-3,2812.297,10598.985,1.51,8.34,1.9962,0.9996,1819.1358,6.5049e-6
0.2420,2.0000e-3,2808.133,10583.292,1.52,8.17,2.0381,0.9998,1825.0705,6.4882e-6
0.2620,2.0000e-3,2829.574,10664.101,1.53,8.02,2.0370,0.9998,1830.6553,6.2712e-6
0.2820,2.0000e-3,2881.764,10860.793,1.53,7.89,2.0698,0.9998,1836.3486,5.9752e-6
0.3020,2.0000e-3,2878.565,10848.737,1.53,7.80,2.0807,0.9996,1841.7053,5.6133e-6
0.3220,2.0000e-3,2843.601,10716.964,1.53,7.75,2.0793,0.9998,1847.0806,5.6748e-6
0.3420,2.0000e-3,2815.307,10610.331,1.52,7.72,2.0761,0.9997,1853.1046,6.0131e-6
0.3620,2.0000e-3,2800.988,10556.364,1.52,7.66,2.0702,0.9998,1859.3822,6.3129e-6
0.3820,2.0000e-3,2794.247,10530.961,1.51,7.56,2.0473,0.9995,1865.6751,6.5117e-6
0.4020,2.0000e-3,2786.096,10500.240,1.51,7.45,1.9923,0.9993,1871.7321,6.5451e-6
0.4220,2.0000e-3,2778.378,10471.151,1.51,7.31,1.9500,0.9995,1877.4067,6.2153e-6
0.4420,2.0000e-3,2774.908,10458.077,1.51,7.17,1.9504,0.9992,1882.5993,6.3285e-6
0.4620,2.0000e-3,2780.428,10478.878,1.52,7.03,1.9498,0.9997,1887.3324,6.2303e-6
0.4820,2.0000e-3,2830.161,10666.313,1.53,6.88,1.9496,0.9997,1892.0942,6.0068e-6
0.5020,2.0000e-3,2859.130,10775.492,1.52,6.75,1.9487,0.9998,1896.5490,5.6955e-6
0.5220,2.0000e-3,2827.243,10655.314,1.53,6.64,1.9482,0.9997,1900.6673,5.3418e-6
0.5420,2.0000e-3,2795.031,10533.916,1.52,6.57,1.9699,0.9999,1905.1298,5.6187e-6
0.5620,2.0000e-3,2774.965,10458.288,1.52,6.49,1.9935,0.9998,1909.9970,5.9050e-6
0.5820,2.0000e-3,2769.874,10439.102,1.51,6.40,2.0143,0.9996,1914.9662,6.2506e-6
0.6020,2.0000e-3,2765.821,10423.826,1.51,6.30,2.0245,0.9993,1919.8947,6.4877e-6
0.6220,2.0000e-3,2757.339,10391.860,1.51,6.19,2.0302,0.9996,1924.5644,6.4224e-6
0.6420,2.0000e-3,2756.117,10387.254,1.51,6.09,2.0285,0.9998,1928.9297,6.4687e-6
0.6620,2.0000e-3,2761.153,10406.236,1.51,5.98,1.9867,0.9998,1932.9477,6.2238e-6
0.6820,2.0000e-3,2794.197,10530.769,1.53,5.86,1.9498,0.9998,1936.8932,5.9130e-6
0.7020,2.0000e-3,2843.904,10718.109,1.52,5.75,1.9492,0.9998,1940.9343,5.5759e-6
0.7220,2.0000e-3,2828.539,10660.200,1.53,5.65,1.9480,0.9997,1944.5861,5.3116e-6
0.7420,2.0000e-3,2795.516,10535.743,1.52,5.57,1.9485,0.9998,1948.3384,5.5580e-6
0.7620,2.0000e-3,2766.729,10427.248,1.51,5.50,1.9606,0.9998,1952.6720,5.9266e-6
0.7820,2.0000e-3,2760.589,10404.109,1.51,5.40,1.9683,0.9998,1957.1134,6.1532e-6
0.8020,2.0000e-3,2756.646,10389.248,1.50,5.29,1.9755,0.9996,1961.4629,6.2665e-6
0.8220,2.0000e-3,2755.463,10384.791,1.50,5.17,1.9827,0.9993,1965.5836,6.2524e-6
0.8420,2.0000e-3,2754.480,10381.088,1.50,5.06,1.9695,0.9998,1969.4510,6.4522e-6
0.8620,2.0000e-3,2758.217,10395.169,1.50,4.96,1.9654,0.9998,1973.0353,6.5252e-6
0.8820,2.0000e-3,2776.860,10465.430,1.51,4.85,1.9501,0.9996,1976.3685,6.3420e-6
0.9020,2.0000e-3,2828.482,10659.985,1.52,4.73,1.9498,0.9997,1979.9474,6.0394e-6
0.9220,2.0000e-3,2843.681,10717.266,1.51,4.63,1.9488,0.9997,1983.2743,5.7173e-6
0.9420,2.0000e-3,2808.006,10582.813,1.52,4.54,1.9485,0.9998,1986.5096,5.4878e-6
0.9620,2.0000e-3,2776.399,10463.693,1.51,4.47,1.9492,0.9998,1990.3294,5.8645e-6
0.9820,2.0000e-3,2761.733,10408.420,1.50,4.39,1.9501,0.9995,1994.3986,6.1669e-6
1.0020,2.0000e-3,2759.417,10399.692,1.50,4.27,1.9510,0.9997,1998.3311,6.4934e-6
1.0220,2.0000e-3,2759.903,10401.522,1.49,4.16,1.9516,0.9987,2002.0126,6.5915e-6
1.0420,2.0000e-3,2760.286,10402.968,1.49,4.05,1.9507,0.9993,2005.3698,6.3164e-6
1.0620,2.0000e-3,2762.217,10410.244,1.49,3.96,1.9515,0.9997,2008.3704,6.5053e-6
1.0820,2.0000e-3,2770.246,10440.504,1.50,3.87,1.9510,0.9998,2010.9794,6.4817e-6
1.1020,2.0000e-3,2814.216,10606.220,1.51,3.77,1.9507,0.9997,2013.4092,6.2111e-6
1.1220,2.0000e-3,2854.089,10756.494,1.50,3.67,1.9500,0.9998,2015.6105,5.9365e-6
1.1420,2.0000e-3,2833.075,10677.295,1.52,3.57,1.9496,0.9998,2017.2921,5.5396e-6
1.1620,2.0000e-3,2800.194,10553.373,1.50,3.52,1.9501,0.9998,2019.2906,5.6655e-6
1.1820,2.0000e-3,2775.228,10459.282,1.49,3.47,1.9507,0.9996,2022.1272,6.0408e-6
1.2020,2.0000e-3,2766.098,10424.870,1.49,3.40,1.9512,0.9990,2025.1967,6.4201e-6
1.2220,2.0000e-3,2764.838,10420.122,1.49,3.32,1.9520,0.9991,2028.1069,6.6643e-6
1.2420,2.0000e-3,2764.819,10420.052,1.49,3.24,1.9519,0.9990,2030.6453,6.6181e-6
1.2620,2.0000e-3,2765.199,10421.484,1.49,3.16,1.9522,0.9996,2032.7404,6.1767e-6
1.2820,2.0000e-3,2773.524,10452.859,1.49,3.08,1.9519,0.9998,2034.4422,6.3089e-6
1.3020,2.0000e-3,2799.464,10550.622,1.50,2.99,1.9514,0.9998,2035.8862,6.2318e-6
1.3220,2.0000e-3,2850.812,10744.141,1.50,2.90,1.9510,0.9997,2037.4289,6.0031e-6
1.3420,2.0000e-3,2855.582,10762.120,1.50,2.83,1.9501,0.9997,2038.4895,5.5936e-6
1.3620,2.0000e-3,2819.351,10625.572,1.50,2.77,1.9507,0.9995,2039.2051,5.3181e-6
1.3820,2.0000e-3,2789.595,10513.427,1.48,2.74,1.9516,0.9997,2040.1677,5.6375e-6
1.4020,2.0000e-3,2778.616,10472.049,1.48,2.70,1.9524,0.9998,2041.0651,6.0522e-6
1.4220,2.0000e-3,2778.418,10471.305,1.47,2.63,1.9530,0.9988,2041.7128,6.4107e-6
1.4420,2.0000e-3,2776.685,10464.773,1.47,2.58,1.9532,0.9985,2042.0912,6.6365e-6
1.4620,2.0000e-3,2774.399,10456.157,1.47,2.54,1.9533,0.9989,2042.1486,6.4155e-6
1.4820,2.0000e-3,2780.125,10477.737,1.47,2.51,1.9536,0.9984,2041.8260,6.5227e-6
1.5020,2.0000e-3,2789.133,10511.685,1.48,2.50,1.9527,0.9987,2041.0539,6.3082e-6
1.5220,2.0000e-3,2832.716,10675.942,1.49,2.46,1.9522,0.9990,2040.2584,5.9500e-6
1.5420,2.0000e-3,2868.348,10810.231,1.48,2.44,1.9514,0.9994,2039.2851,5.6230e-6
1.5620,2.0000e-3,2839.108,10700.032,1.49,2.43,1.9515,0.9993,2038.0628,5.3075e-6
1.5820,2.0000e-3,2807.040,10579.175,1.48,2.45,1.9521,0.9995,2037.1385,5.7772e-6
1.6020,2.0000e-3,2787.091,10503.990,1.47,2.47,1.9528,0.9996,2036.6057,6.1544e-6
1.6220,2.0000e-3,2779.942,10477.046,1.47,2.47,1.9533,0.9990,2036.1465,6.4058e-6
1.6420,2.0000e-3,2781.565,10483.164,1.47,2.46,1.9536,0.9988,2035.6922,6.4752e-6
1.6620,2.0000e-3,2779.241,10474.404,1.46,2.45,1.9529,0.9987,2035.1903,6.2977e-6
1.6820,2.0000e-3,2779.198,10474.244,1.47,2.44,1.9539,0.9982,2034.5604,6.5905e-6
1.7020,2.0000e-3,2784.617,10494.665,1.47,2.44,1.9531,0.9993,2033.7758,6.5676e-6
1.7220,2.0000e-3,2814.862,10608.652,1.48,2.41,1.9525,0.9993,2032.9141,6.3464e-6
1.7420,2.0000e-3,2864.920,10797.311,1.48,2.37,1.9517,0.9992,2032.2321,6.0115e-6
1.7620,2.0000e-3,2854.572,10758.311,1.49,2.35,1.9512,0.9991,2031.3368,5.6453e-6
1.7820,2.0000e-3,2820.161,10628.626,1.48,2.36,1.9517,0.9995,2030.5221,5.6943e-6
1.8020,2.0000e-3,2792.853,10525.707,1.47,2.39,1.9525,0.9996,2030.2300,6.1115e-6
1.8220,2.0000e-3,2783.553,10490.657,1.47,2.40,1.9530,0.9987,2030.0584,6.4343e-6
1.8420,2.0000e-3,2778.433,10471.359,1.47,2.39,1.9534,0.9974,2029.8866,6.6483e-6
1.8620,2.0000e-3,2780.933,10480.780,1.46,2.38,1.9534,0.9972,2029.6700,6.6237e-6
1.8820,2.0000e-3,2777.786,10468.921,1.47,2.37,1.9537,0.9985,2029.3170,6.3332e-6
1.9020,2.0000e-3,2781.704,10483.689,1.47,2.37,1.9535,0.9990,2028.8107,6.5763e-6
1.9220,2.0000e-3,2795.903,10537.201,1.48,2.36,1.9526,0.9989,2028.0873,6.4833e-6
1.9420,2.0000e-3,2844.414,10720.028,1.49,2.31,1.9521,0.9990,2027.5544,6.2071e-6
1.9620,2.0000e-3,2867.408,10806.690,1.48,2.29,1.9512,0.9990,2026.8715,5.8465e-6
1.9820,2.0000e-3,2834.616,10683.104,1.49,2.28,1.9514,0.9992,2026.0697,5.4871e-6
2.0020,2.0000e-3,2800.954,10556.236,1.47,2.31,1.9521,0.9996,2025.6781,5.8555e-6
2.0220,2.0000e-3,2780.371,10478.662,1.47,2.33,1.9528,0.9988,2025.5824,6.1893e-6
2.0420,2.0000e-3,2783.133,10489.073,1.47,2.32,1.9532,0.9974,2025.4894,6.5695e-6
2.0620,2.0000e-3,2779.248,10474.432,1.46,2.31,1.9536,0.9973,2025.3622,6.7246e-6
2.0820,2.0000e-3,2777.043,10466.121,1.47,2.30,1.9530,0.9982,2025.1266,6.5488e-6
2.1020,2.0000e-3,2780.182,10477.952,1.47,2.30,1.9538,0.9985,2024.7594,6.3086e-6
2.1220,2.0000e-3,2783.383,10490.014,1.47,2.29,1.9529,0.9985,2024.1816,6.2995e-6
2.1420,2.0000e-3,2821.809,10634.834,1.49,2.26,1.9523,0.9979,2023.6038,6.1447e-6
2.1620,2.0000e-3,2867.998,10808.913,1.48,2.22,1.9515,0.9981,2023.1088,5.8455e-6
2.1820,2.0000e-3,2847.848,10732.970,1.49,2.20,1.9512,0.9997,2022.4166,5.3698e-6
2.2020,2.0000e-3,2813.021,10601.714,1.48,2.22,1.9517,0.9993,2021.8934,5.4109e-6
2.2220,2.0000e-3,2788.255,10508.377,1.47,2.25,1.9525,0.9971,2021.8575,5.8210e-6
2.2420,2.0000e-3,2782.738,10487.583,1.47,2.25,1.9530,0.9953,2021.9098,6.1298e-6
2.2620,2.0000e-3,2778.888,10473.076,1.47,2.24,1.9534,0.9973,2021.9593,6.4935e-6
2.2820,2.0000e-3,2777.604,10468.234,1.46,2.23,1.9531,0.9962,2021.9368,6.5571e-6
2.3020,2.0000e-3,2776.466,10463.945,1.47,2.22,1.9537,0.9948,2021.7982,6.4810e-6
2.3220,2.0000e-3,2781.255,10481.994,1.47,2.21,1.9532,0.9973,2021.4893,6.5072e-6
2.3420,2.0000e-3,2802.254,10561.136,1.48,2.20,1.9524,0.9970,2021.0131,6.2368e-6
2.3620,2.0000e-3,2852.957,10752.227,1.49,2.16,1.9519,0.9970,2020.7555,5.8935e-6
2.3820,2.0000e-3,2863.983,10793.781,1.48,2.13,1.9511,0.9990,2020.3085,5.5474e-6
2.4020,2.0000e-3,2828.132,10658.666,1.49,2.13,1.9514,0.9989,2019.8169,5.4709e-6
2.4220,2.0000e-3,2796.541,10539.604,1.47,2.16,1.9521,0.9984,2019.8267,5.9088e-6
2.4420,2.0000e-3,2782.341,10486.088,1.47,2.17,1.9528,0.9962,2020.0686,6.2276e-6
2.4620,2.0000e-3,2779.840,10476.664,1.47,2.16,1.9532,0.9966,2020.3188,6.4613e-6
2.4820,2.0000e-3,2780.774,10480.182,1.46,2.15,1.9534,0.9960,2020.5390,6.4661e-6
2.5020,2.0000e-3,2776.360,10463.546,1.46,2.15,1.9532,0.9958,2020.6303,6.3786e-6
2.5220,2.0000e-3,2778.013,10469.778,1.47,2.14,1.9536,0.9964,2020.5578,6.6237e-6
2.5420,2.0000e-3,2787.035,10503.779,1.47,2.14,1.9527,0.9969,2020.2838,6.5438e-6
2.5620,2.0000e-3,2827.617,10656.725,1.49,2.10,1.9521,0.9978,2020.0722,6.2055e-6
2.5820,2.0000e-3,2867.268,10806.161,1.48,2.07,1.9512,0.9983,2019.8509,5.9013e-6
2.6020,2.0000e-3,2841.743,10709.961,1.49,2.05,1.9512,0.9983,2019.4537,5.5151e-6
2.6220,2.0000e-3,2807.513,10580.955,1.48,2.08,1.9518,0.9984,2019.3159,5.8591e-6
2.6420,2.0000e-3,2784.192,10493.063,1.47,2.10,1.9525,0.9980,2019.6023,6.2181e-6
2.6620,2.0000e-3,2779.402,10475.013,1.47,2.10,1.9530,0.9971,2019.9354,6.5358e-6
2.6820,2.0000e-3,2780.222,10478.102,1.46,2.10,1.9534,0.9972,2020.2404,6.6800e-6
2.7020,2.0000e-3,2777.330,10467.202,1.46,2.09,1.9529,0.9963,2020.4359,6.5219e-6
2.7220,2.0000e-3,2778.150,10470.293,1.47,2.08,1.9537,0.9964,2020.4980,6.4180e-6
2.7420,2.0000e-3,2782.210,10485.594,1.47,2.08,1.9531,0.9972,2020.3544,6.5137e-6
2.7620,2.0000e-3,2809.230,10587.426,1.48,2.06,1.9523,0.9975,2020.0714,6.3557e-6
2.7820,2.0000e-3,2860.916,10782.223,1.49,2.02,1.9517,0.9981,2019.9686,6.0785e-6
2.8020,2.0000e-3,2860.030,10778.884,1.48,2.00,1.9511,0.9980,2019.6254,5.6681e-6
2.8220,2.0000e-3,2820.804,10631.048,1.48,2.01,1.9515,0.9981,2019.2817,5.5931e-6
2.8420,2.0000e-3,2793.065,10526.505,1.47,2.04,1.9523,0.9986,2019.4601,5.9348e-6
2.8620,2.0000e-3,2782.203,10485.568,1.47,2.05,1.9529,0.9970,2019.7897,6.3106e-6
2.8820,2.0000e-3,2781.436,10482.678,1.47,2.05,1.9533,0.9971,2020.1089,6.5770e-6
2.9020,2.0000e-3,2777.593,10468.195,1.46,2.04,1.9533,0.9962,2020.3446,6.6757e-6
2.9220,2.0000e-3,2776.930,10465.697,1.47,2.04,1.9535,0.9962,2020.4753,6.3867e-6
2.9420,2.0000e-3,2779.327,10474.728,1.47,2.03,1.9535,0.9966,2020.4068,6.3298e-6
2.9620,2.0000e-3,2791.065,10518.969,1.47,2.03,1.9525,0.9980,2020.1253,6.2255e-6
2.9820,2.0000e-3,2837.497,10693.960,1.49,1.99,1.9521,0.9978,2019.9808,6.0363e-6
3.0000,2.0000e-3,2867.648,10807.594,1.48,1.97,1.9512,0.9981,2019.7549,5.7541e-6
