# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-16T11:13:09.008Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   millRpm (Mill Speed): 31.755347989391172 rpm
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.25 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.002 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Viscosity / Consistency (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 0.7 -
#   tauY (Yield Stress (τy)): 5 Pa
#   m (Regularization (m)): 1000 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 128 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 12 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 8.000 mm
#   Critical Speed Nc: 42.34 rpm (0.706 rev/s)
#   Speed Fraction: 75.00 %Nc
#   Angular Velocity omega: 3.3254 rad/s
#   Tip Speed: 1.663 m/s
#   Permeability K_perm: 4.7407e-9 m^2
#   Pore Shear Rate: 9055.7 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,55785.678,185510.379,0.00,0.00,1.8667,0.0000,992.6564,3.6080e-5
0.0220,2.0000e-3,2780.501,9246.313,1.50,8.74,1.7318,1.0000,1303.4147,7.1147e-6
0.0420,2.0000e-3,2566.546,8534.823,1.49,8.61,1.7312,1.0000,1319.2158,5.6234e-6
0.0620,2.0000e-3,2488.373,8274.866,1.47,8.48,1.7921,0.9999,1329.9676,5.5656e-6
0.0820,2.0000e-3,2431.415,8085.458,1.47,8.35,1.8079,0.9999,1338.5923,5.3156e-6
0.1020,2.0000e-3,2412.100,8021.229,1.48,8.24,1.8353,1.0000,1346.1340,4.7993e-6
0.1220,2.0000e-3,2408.988,8010.877,1.48,8.13,1.8066,0.9999,1353.0341,4.9099e-6
0.1420,2.0000e-3,2392.504,7956.063,1.49,8.01,1.7730,0.9999,1359.3021,4.9954e-6
0.1620,2.0000e-3,2380.266,7915.365,1.49,7.88,1.7385,0.9999,1365.3990,5.4146e-6
0.1820,2.0000e-3,2369.808,7880.590,1.49,7.75,1.7304,1.0000,1371.4000,5.6924e-6
0.2020,2.0000e-3,2363.806,7860.628,1.49,7.62,1.7309,0.9999,1377.1479,5.6501e-6
0.2220,2.0000e-3,2356.341,7835.805,1.48,7.50,1.7530,0.9998,1382.5112,5.5719e-6
0.2420,2.0000e-3,2350.903,7817.721,1.48,7.37,1.7769,0.9999,1387.5333,5.5151e-6
0.2620,2.0000e-3,2347.481,7806.343,1.49,7.24,1.7821,0.9999,1392.3439,5.7972e-6
0.2820,2.0000e-3,2339.405,7779.488,1.48,7.13,1.8187,1.0000,1396.8493,5.7060e-6
0.3020,2.0000e-3,2335.139,7765.301,1.47,7.02,1.8218,1.0000,1401.1073,5.3023e-6
0.3220,2.0000e-3,2318.514,7710.016,1.47,6.93,1.8300,1.0000,1405.2061,5.0592e-6
0.3420,2.0000e-3,2333.513,7759.894,1.48,6.88,1.8444,0.9999,1409.5456,4.9462e-6
0.3620,2.0000e-3,2340.496,7783.115,1.47,6.85,1.8465,0.9999,1413.9826,4.7064e-6
0.3820,2.0000e-3,2337.553,7773.327,1.49,6.81,1.8384,1.0000,1418.4334,5.2814e-6
0.4020,2.0000e-3,2334.053,7761.687,1.49,6.76,1.8186,0.9999,1422.9733,5.4260e-6
0.4220,2.0000e-3,2334.775,7764.091,1.49,6.70,1.7995,0.9999,1427.5826,5.4750e-6
0.4420,2.0000e-3,2333.758,7760.709,1.49,6.64,1.7778,0.9999,1432.2477,5.7810e-6
