# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-15T16:06:20.673Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   speedFraction (Speed Fraction): 75 %Nc
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.35 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.002 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Consistency Index (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 0.7 -
#   tauY (Yield Stress (τy)): 5 Pa
#   m (Regularization (m)): 1000 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 128 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 12 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 8.000 mm
#   Critical Speed Nc: 42.34 rpm (0.706 rev/s)
#   Angular Velocity omega: 3.3254 rad/s
#   Tip Speed: 1.663 m/s
#   Permeability K_perm: 4.7407e-9 m^2
#   Pore Shear Rate: 9055.7 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,54122.202,179978.635,0.00,0.00,1.8683,0.0000,1025.5688,3.6371e-5
0.0220,2.0000e-3,2942.817,9786.080,1.24,8.85,1.7229,0.9998,1378.3833,6.6782e-6
0.0420,2.0000e-3,2827.897,9403.922,1.24,8.67,1.7234,0.9998,1391.0966,5.5441e-6
0.0620,2.0000e-3,2802.411,9319.173,1.24,8.52,1.7673,0.9996,1399.7437,5.5829e-6
0.0820,2.0000e-3,2771.800,9217.379,1.25,8.38,1.7957,0.9998,1406.9294,5.3338e-6
0.1020,2.0000e-3,2746.098,9131.908,1.25,8.23,1.8119,0.9997,1413.3197,4.8173e-6
0.1220,2.0000e-3,2729.991,9078.345,1.24,8.07,1.7896,0.9998,1419.0458,4.9092e-6
0.1420,2.0000e-3,2694.852,8961.493,1.24,7.92,1.7511,0.9997,1424.1990,4.9868e-6
0.1620,2.0000e-3,2660.901,8848.592,1.23,7.79,1.7216,0.9998,1429.0565,5.4191e-6
0.1820,2.0000e-3,2629.832,8745.274,1.22,7.67,1.7221,0.9996,1433.8459,5.7125e-6
0.2020,2.0000e-3,2618.546,8707.745,1.22,7.52,1.7226,0.9995,1438.3413,5.6871e-6
0.2220,2.0000e-3,2610.943,8682.461,1.22,7.37,1.7225,0.9995,1442.4782,5.6208e-6
0.2420,2.0000e-3,2606.393,8667.332,1.22,7.22,1.7230,0.9997,1446.3150,5.5358e-6
0.2620,2.0000e-3,2617.586,8704.552,1.23,7.08,1.7522,0.9997,1449.9640,5.7956e-6
0.2820,2.0000e-3,2652.391,8820.292,1.24,6.94,1.7593,0.9998,1453.6424,5.7493e-6
0.3020,2.0000e-3,2681.870,8918.324,1.24,6.83,1.7674,0.9998,1457.1489,5.3696e-6
0.3220,2.0000e-3,2680.784,8914.712,1.25,6.73,1.7838,0.9997,1460.5287,5.1354e-6
0.3420,2.0000e-3,2681.097,8915.752,1.25,6.65,1.7949,0.9998,1464.0192,4.9947e-6
0.3620,2.0000e-3,2675.270,8896.376,1.24,6.57,1.8006,0.9998,1467.6700,4.6917e-6
0.3820,2.0000e-3,2645.371,8796.951,1.24,6.50,1.8043,0.9998,1471.3087,5.2565e-6
0.4020,2.0000e-3,2615.062,8696.158,1.23,6.45,1.8015,0.9998,1475.0704,5.4047e-6
0.4220,2.0000e-3,2596.094,8633.083,1.22,6.38,1.7861,0.9994,1478.9381,5.4701e-6
0.4420,2.0000e-3,2588.901,8609.162,1.22,6.28,1.7479,0.9993,1482.6396,5.8032e-6
0.4620,2.0000e-3,2583.261,8590.407,1.22,6.16,1.7222,0.9995,1486.0860,5.7492e-6
0.4820,2.0000e-3,2582.350,8587.378,1.22,6.04,1.7224,0.9995,1489.2891,5.7534e-6
0.5020,2.0000e-3,2602.723,8655.129,1.23,5.92,1.7228,0.9996,1492.2789,5.7424e-6
0.5220,2.0000e-3,2641.993,8785.715,1.24,5.79,1.7225,0.9995,1495.2973,5.4127e-6
0.5420,2.0000e-3,2659.266,8843.157,1.24,5.69,1.7217,0.9995,1498.0414,5.4189e-6
0.5620,2.0000e-3,2661.960,8852.115,1.25,5.58,1.7207,0.9993,1500.6701,5.1986e-6
0.5820,2.0000e-3,2662.237,8853.034,1.25,5.47,1.7199,0.9993,1503.4065,4.7231e-6
0.6020,2.0000e-3,2654.905,8828.654,1.24,5.37,1.7204,0.9996,1506.2762,5.0240e-6
0.6220,2.0000e-3,2624.710,8728.243,1.23,5.28,1.7211,0.9998,1509.1401,5.0576e-6
0.6420,2.0000e-3,2597.440,8637.560,1.22,5.23,1.7217,0.9997,1512.2163,5.4381e-6
0.6620,2.0000e-3,2583.952,8592.706,1.22,5.16,1.7243,0.9998,1515.3614,5.7549e-6
0.6820,2.0000e-3,2578.127,8573.335,1.22,5.06,1.7247,0.9993,1518.3670,5.7479e-6
0.7020,2.0000e-3,2573.762,8558.821,1.21,4.97,1.7316,0.9995,1521.1710,5.5100e-6
0.7220,2.0000e-3,2575.454,8564.446,1.22,4.87,1.7256,0.9994,1523.7780,5.4681e-6
