# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-15T16:09:17.616Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   speedFraction (Speed Fraction): 75 %Nc
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.3 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.0005 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Consistency Index (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 0.7 -
#   tauY (Yield Stress (τy)): 5 Pa
#   m (Regularization (m)): 1000 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 128 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 12 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 8.000 mm
#   Critical Speed Nc: 42.31 rpm (0.705 rev/s)
#   Angular Velocity omega: 3.3229 rad/s
#   Tip Speed: 1.661 m/s
#   Permeability K_perm: 2.9630e-10 m^2
#   Pore Shear Rate: 36195.7 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,52571.030,174689.118,0.00,0.00,1.8530,0.0000,1025.1943,3.6334e-5
0.0220,2.0000e-3,3676.420,12216.436,1.27,8.71,1.7184,0.9998,1345.1366,7.0231e-6
0.0420,2.0000e-3,3502.404,11638.194,1.27,8.56,1.7172,0.9999,1358.5774,5.6143e-6
0.0620,2.0000e-3,3466.114,11517.606,1.29,8.42,1.7834,0.9997,1367.8964,5.6485e-6
0.0820,2.0000e-3,3473.836,11543.266,1.29,8.28,1.8053,0.9998,1375.6875,5.3907e-6
0.1020,2.0000e-3,3452.262,11471.577,1.28,8.15,1.8322,0.9998,1382.4079,4.8906e-6
0.1220,2.0000e-3,3402.610,11306.586,1.29,8.03,1.8078,0.9994,1388.5302,4.9881e-6
0.1420,2.0000e-3,3357.654,11157.202,1.28,7.91,1.7618,0.9997,1394.2761,5.0484e-6
0.1620,2.0000e-3,3329.113,11062.362,1.27,7.79,1.7319,0.9998,1399.8377,5.5035e-6
0.1820,2.0000e-3,3320.648,11034.234,1.27,7.66,1.7163,0.9997,1405.0762,5.7727e-6
0.2020,2.0000e-3,3315.960,11018.657,1.27,7.51,1.7171,0.9994,1410.0003,5.7242e-6
0.2220,2.0000e-3,3306.510,10987.257,1.27,7.37,1.7185,0.9993,1414.5787,5.6894e-6
0.2420,2.0000e-3,3300.220,10966.355,1.27,7.23,1.7478,0.9996,1418.8511,5.5960e-6
0.2620,2.0000e-3,3299.268,10963.189,1.27,7.09,1.7642,0.9998,1422.9134,5.8784e-6
0.2820,2.0000e-3,3307.876,10991.794,1.28,6.97,1.7846,0.9995,1426.7001,5.7984e-6
0.3020,2.0000e-3,3342.741,11107.646,1.29,6.85,1.7826,0.9996,1430.5275,5.3892e-6
0.3220,2.0000e-3,3375.998,11218.158,1.28,6.76,1.8070,0.9994,1434.2486,5.2171e-6
0.3420,2.0000e-3,3375.832,11217.607,1.28,6.68,1.8140,0.9993,1437.8525,5.0466e-6
0.3620,2.0000e-3,3338.703,11094.228,1.28,6.63,1.8127,0.9993,1441.4823,4.8074e-6
0.3820,2.0000e-3,3311.367,11003.394,1.28,6.60,1.8112,0.9994,1445.4254,5.3495e-6
0.4020,2.0000e-3,3288.328,10926.838,1.28,6.55,1.8111,0.9995,1449.6333,5.4546e-6
0.4220,2.0000e-3,3285.234,10916.557,1.27,6.48,1.7994,0.9993,1453.8682,5.5826e-6
