# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-16T11:16:47.007Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   millRpm (Mill Speed): 31.739450442467735 rpm
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.3 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.001 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Viscosity / Consistency (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 0.7 -
#   tauY (Yield Stress (τy)): 5 Pa
#   m (Regularization (m)): 1000 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 128 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 12 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 8.000 mm
#   Critical Speed Nc: 42.32 rpm (0.705 rev/s)
#   Speed Fraction: 75.00 %Nc
#   Angular Velocity omega: 3.3237 rad/s
#   Tip Speed: 1.662 m/s
#   Permeability K_perm: 1.1852e-9 m^2
#   Pore Shear Rate: 18102.4 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,53598.096,178146.538,0.00,0.00,1.8367,0.0000,1021.9927,3.6049e-5
0.0220,2.0000e-3,3319.002,11031.524,1.30,8.75,1.7309,0.9998,1349.6768,6.6675e-6
0.0420,2.0000e-3,3140.202,10437.239,1.30,8.59,1.7293,1.0000,1363.4382,5.6102e-6
0.0620,2.0000e-3,3098.068,10297.197,1.31,8.45,1.7703,0.9998,1372.9151,5.6456e-6
0.0820,2.0000e-3,3111.757,10342.694,1.31,8.31,1.7842,0.9998,1380.9056,5.3894e-6
0.1020,2.0000e-3,3095.114,10287.376,1.31,8.17,1.8163,0.9999,1387.7745,4.8799e-6
0.1220,2.0000e-3,3044.676,10119.735,1.31,8.05,1.7898,1.0000,1394.0097,4.9920e-6
0.1420,2.0000e-3,3000.107,9971.599,1.30,7.94,1.7490,0.9998,1399.9694,5.0497e-6
0.1620,2.0000e-3,2972.583,9880.115,1.30,7.81,1.7290,1.0000,1405.7176,5.4899e-6
0.1820,2.0000e-3,2960.626,9840.372,1.30,7.67,1.7287,0.9998,1411.1329,5.7582e-6
0.2020,2.0000e-3,2956.352,9826.167,1.29,7.52,1.7291,0.9998,1416.2360,5.7086e-6
0.2220,2.0000e-3,2950.731,9807.485,1.29,7.38,1.7299,0.9996,1420.9940,5.6574e-6
0.2420,2.0000e-3,2944.841,9787.908,1.29,7.24,1.7598,0.9993,1425.4600,5.5770e-6
0.2620,2.0000e-3,2942.260,9779.330,1.29,7.10,1.7696,0.9998,1429.7190,5.8715e-6
0.2820,2.0000e-3,2943.187,9782.409,1.30,6.98,1.7924,0.9999,1433.7018,5.7953e-6
0.3020,2.0000e-3,2972.585,9880.121,1.31,6.86,1.7871,0.9999,1437.6740,5.3904e-6
0.3220,2.0000e-3,3015.808,10023.785,1.31,6.76,1.8113,0.9999,1441.6127,5.1951e-6
0.3420,2.0000e-3,3015.987,10024.380,1.31,6.69,1.8182,0.9998,1445.3708,5.0375e-6
0.3620,2.0000e-3,2981.301,9909.091,1.31,6.64,1.8140,0.9999,1449.1744,4.7998e-6
0.3820,2.0000e-3,2949.767,9804.279,1.30,6.61,1.7953,0.9998,1453.3482,5.3456e-6
0.4020,2.0000e-3,2933.139,9749.012,1.30,6.57,1.7830,0.9998,1457.7529,5.4564e-6
0.4220,2.0000e-3,2929.042,9735.398,1.30,6.49,1.7704,0.9998,1462.1720,5.5543e-6
0.4420,2.0000e-3,2927.904,9731.615,1.29,6.40,1.7449,0.9998,1466.5152,5.8469e-6
0.4620,2.0000e-3,2921.441,9710.134,1.29,6.30,1.7297,0.9998,1470.6659,5.7610e-6
0.4820,2.0000e-3,2918.552,9700.531,1.29,6.19,1.7304,0.9992,1474.5860,5.8370e-6
0.5020,2.0000e-3,2918.312,9699.732,1.29,6.07,1.7292,0.9998,1478.2278,5.7793e-6
