# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-15T16:17:12.475Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   speedFraction (Speed Fraction): 75 %Nc
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.3 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.002 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Consistency Index (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 0.7 -
#   tauY (Yield Stress (τy)): 5 Pa
#   m (Regularization (m)): 1000 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 256 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 12 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 4.000 mm
#   Critical Speed Nc: 42.34 rpm (0.706 rev/s)
#   Angular Velocity omega: 3.3254 rad/s
#   Tip Speed: 1.663 m/s
#   Permeability K_perm: 4.7407e-9 m^2
#   Pore Shear Rate: 9055.7 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,29206.220,97122.721,0.00,0.00,1.8565,0.0000,983.0171,1.0721e-5
0.0220,2.0000e-3,1574.986,5237.478,1.45,9.78,1.7323,0.9999,1294.5238,2.4459e-6
0.0420,2.0000e-3,1453.584,4833.767,1.44,9.71,1.8972,0.9996,1306.8032,1.8641e-6
0.0620,2.0000e-3,1419.134,4719.204,1.45,9.64,2.0739,0.9999,1316.1930,2.0905e-5
0.0820,2.0000e-3,1434.342,4769.779,1.46,9.50,2.1310,0.9999,1324.5045,2.1498e-5
0.1020,2.0000e-3,1418.814,4718.143,1.46,9.35,2.1401,0.9999,1331.5944,2.0623e-5
0.1220,2.0000e-3,1371.425,4560.555,1.45,9.23,2.0958,0.9999,1338.3231,2.0133e-5
0.1420,2.0000e-3,1338.625,4451.480,1.44,9.14,2.0628,0.9998,1344.8947,2.0975e-5
0.1620,2.0000e-3,1323.415,4400.901,1.44,9.01,2.0105,0.9999,1351.0201,2.1506e-5
0.1820,2.0000e-3,1311.562,4361.483,1.44,8.88,2.0239,0.9998,1356.8159,2.1420e-5
0.2020,2.0000e-3,1305.356,4340.848,1.44,8.75,2.0341,0.9996,1362.3385,2.1843e-5
0.2220,2.0000e-3,1299.467,4321.263,1.43,8.63,2.0362,0.9997,1367.6200,2.1798e-5
0.2420,2.0000e-3,1292.998,4299.751,1.43,8.50,2.0563,0.9998,1372.6404,2.1710e-5
0.2620,2.0000e-3,1289.921,4289.518,1.43,8.38,2.0572,0.9998,1377.3967,2.1327e-5
0.2820,2.0000e-3,1285.826,4275.903,1.43,8.25,2.0590,0.9999,1381.8259,2.1865e-5
0.3020,2.0000e-3,1305.850,4342.489,1.45,8.14,2.0641,0.9999,1386.0263,2.0987e-5
0.3220,2.0000e-3,1340.780,4458.646,1.45,8.04,2.0635,0.9999,1390.3334,2.1351e-5
0.3420,2.0000e-3,1332.091,4429.751,1.45,7.97,2.0546,0.9999,1394.3238,2.0413e-5
0.3620,2.0000e-3,1303.389,4334.305,1.44,7.92,2.0212,0.9999,1398.2669,2.0304e-5
0.3820,2.0000e-3,1284.672,4272.063,1.44,7.86,2.0040,0.9998,1402.4640,2.1070e-5
0.4020,2.0000e-3,1278.199,4250.540,1.44,7.76,1.9682,0.9998,1406.9886,2.1538e-5
0.4220,2.0000e-3,1273.221,4233.984,1.43,7.69,1.9348,0.9998,1411.7871,2.1539e-5
0.4420,2.0000e-3,1272.112,4230.298,1.43,7.59,1.9001,0.9995,1416.5128,2.1697e-5
0.4620,2.0000e-3,1266.651,4212.136,1.43,7.50,1.9176,0.9995,1421.1057,2.1864e-5
0.4820,2.0000e-3,1265.426,4208.064,1.43,7.39,1.9357,0.9997,1425.4872,2.1910e-5
0.5020,2.0000e-3,1261.628,4195.433,1.43,7.28,1.9626,0.9997,1429.6020,2.1191e-5
0.5220,2.0000e-3,1261.710,4195.704,1.43,7.18,1.9714,0.9998,1433.4072,2.1792e-5
0.5420,2.0000e-3,1289.345,4287.602,1.44,7.06,1.9853,0.9998,1437.0834,2.1043e-5
0.5620,2.0000e-3,1320.394,4390.855,1.45,6.96,1.9868,0.9998,1440.7161,2.1223e-5
0.5820,2.0000e-3,1306.416,4344.373,1.45,6.87,1.9874,0.9998,1443.9896,2.0479e-5
0.6020,2.0000e-3,1283.028,4266.596,1.44,6.80,1.9660,0.9998,1447.2644,2.0294e-5
0.6220,2.0000e-3,1268.581,4218.554,1.43,6.71,1.9699,0.9998,1450.7905,2.1249e-5
0.6420,2.0000e-3,1264.483,4204.929,1.43,6.57,1.9490,0.9997,1454.5157,2.1497e-5
0.6620,2.0000e-3,1260.660,4192.214,1.43,6.44,1.9250,0.9996,1458.5904,2.1641e-5
0.6820,2.0000e-3,1256.260,4177.582,1.42,6.32,1.8986,0.9993,1462.7339,2.1496e-5
0.7020,2.0000e-3,1250.652,4158.934,1.42,6.20,1.9175,0.9995,1466.6739,2.1826e-5
0.7220,2.0000e-3,1247.293,4147.763,1.42,6.09,1.9514,0.9995,1470.2938,2.1902e-5
0.7420,2.0000e-3,1246.461,4144.998,1.42,5.97,1.9738,0.9996,1473.5617,2.1355e-5
0.7620,2.0000e-3,1248.726,4152.528,1.43,5.86,1.9981,0.9995,1476.5529,2.1763e-5
0.7820,2.0000e-3,1281.058,4260.045,1.44,5.75,1.9994,0.9998,1479.6930,2.1131e-5
0.8020,2.0000e-3,1304.553,4338.176,1.44,5.65,2.0074,0.9998,1482.7213,2.1205e-5
0.8220,2.0000e-3,1285.894,4276.129,1.44,5.57,2.0073,0.9997,1485.4777,2.0487e-5
0.8420,2.0000e-3,1261.464,4194.887,1.43,5.50,2.0086,0.9996,1488.3836,2.0297e-5
0.8620,2.0000e-3,1250.473,4158.337,1.42,5.42,2.0048,0.9998,1491.6127,2.1315e-5
0.8820,2.0000e-3,1248.018,4150.175,1.42,5.32,1.9932,0.9997,1495.0429,2.1437e-5
0.9020,2.0000e-3,1249.051,4153.608,1.42,5.23,1.9787,0.9997,1498.5430,2.1812e-5
0.9220,2.0000e-3,1248.463,4151.655,1.42,5.13,1.9604,0.9994,1501.9388,2.1396e-5
0.9420,2.0000e-3,1249.032,4153.546,1.42,5.03,1.9372,0.9995,1505.2581,2.1783e-5
0.9620,2.0000e-3,1245.348,4141.296,1.41,4.92,1.9134,0.9996,1508.5937,2.1881e-5
0.9820,2.0000e-3,1246.698,4145.785,1.41,4.83,1.8800,0.9997,1511.8055,2.1568e-5
1.0020,2.0000e-3,1250.940,4159.891,1.41,4.74,1.8490,0.9996,1514.7449,2.1672e-5
1.0220,2.0000e-3,1289.169,4287.018,1.43,4.63,1.8009,0.9998,1517.6950,2.1188e-5
1.0420,2.0000e-3,1303.862,4335.880,1.43,4.55,1.7539,0.9998,1520.2926,2.1217e-5
1.0620,2.0000e-3,1280.023,4256.605,1.44,4.46,1.7335,0.9997,1522.5514,2.0551e-5
1.0820,2.0000e-3,1256.595,4178.695,1.41,4.40,1.7456,0.9995,1525.2168,2.0316e-5
1.1020,2.0000e-3,1245.415,4141.519,1.41,4.33,1.7567,0.9995,1528.2272,2.1361e-5
1.1220,2.0000e-3,1243.287,4134.442,1.40,4.24,1.7663,0.9997,1531.2595,2.1402e-5
1.1420,2.0000e-3,1241.731,4129.266,1.40,4.14,1.7629,0.9995,1534.1956,2.2017e-5
1.1620,2.0000e-3,1243.623,4135.559,1.40,4.04,1.7558,0.9992,1536.9796,2.1082e-5
1.1820,2.0000e-3,1241.610,4128.865,1.39,3.94,1.7442,0.9995,1539.6152,2.1691e-5
1.2020,2.0000e-3,1243.263,4134.362,1.39,3.85,1.7291,0.9995,1542.0264,2.1896e-5
1.2220,2.0000e-3,1247.411,4148.157,1.40,3.76,1.7288,0.9996,1544.0539,2.1639e-5
1.2420,2.0000e-3,1263.906,4203.008,1.41,3.66,1.7278,0.9995,1545.7939,2.1505e-5
1.2620,2.0000e-3,1302.503,4331.359,1.42,3.54,1.7269,0.9997,1547.7956,2.1319e-5
1.2820,2.0000e-3,1308.130,4350.071,1.42,3.45,1.7256,0.9997,1549.6252,2.1113e-5
1.3020,2.0000e-3,1279.314,4254.245,1.42,3.38,1.7248,0.9998,1551.6607,2.0625e-5
1.3220,2.0000e-3,1257.317,4181.099,1.40,3.36,1.7255,0.9997,1554.2735,2.0365e-5
1.3420,2.0000e-3,1250.444,4158.243,1.39,3.29,1.7268,0.9995,1556.9792,2.1479e-5
1.3620,2.0000e-3,1247.511,4148.489,1.39,3.21,1.7284,0.9994,1559.5706,2.1347e-5
1.3820,2.0000e-3,1247.046,4146.943,1.39,3.13,1.7297,0.9995,1561.9397,2.2114e-5
1.4020,2.0000e-3,1246.994,4146.769,1.39,3.05,1.7301,0.9994,1564.0144,2.1397e-5
1.4220,2.0000e-3,1247.173,4147.364,1.39,2.96,1.7297,0.9995,1565.7193,2.1534e-5
1.4420,2.0000e-3,1249.150,4153.940,1.39,2.87,1.7297,0.9996,1566.9546,2.1901e-5
1.4620,2.0000e-3,1252.701,4165.749,1.39,2.77,1.7291,0.9995,1568.0071,2.1765e-5
1.4820,2.0000e-3,1273.217,4233.971,1.40,2.68,1.7281,0.9995,1569.2153,2.1346e-5
1.5020,2.0000e-3,1308.010,4349.672,1.40,2.59,1.7271,0.9993,1570.7514,2.1294e-5
1.5220,2.0000e-3,1302.953,4332.855,1.40,2.54,1.7259,0.9997,1572.0452,2.1010e-5
1.5420,2.0000e-3,1275.724,4242.310,1.39,2.51,1.7257,0.9994,1573.1803,2.0763e-5
1.5620,2.0000e-3,1258.954,4186.541,1.38,2.49,1.7269,0.9998,1574.3944,2.0312e-5
1.5820,2.0000e-3,1254.181,4170.670,1.38,2.43,1.7284,0.9994,1575.3347,2.1657e-5
1.6020,2.0000e-3,1253.496,4168.390,1.37,2.37,1.7300,0.9992,1575.9904,2.1287e-5
1.6220,2.0000e-3,1254.351,4171.235,1.37,2.30,1.7310,0.9987,1576.4400,2.2124e-5
