# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-16T11:30:48.269Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   millRpm (Mill Speed): 31.755347989391172 rpm
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.3 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.002 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Viscosity / Consistency (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 0.7 -
#   tauY (Yield Stress (τy)): 5 Pa
#   m (Regularization (m)): 1000 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 512 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 12 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 2.000 mm
#   Critical Speed Nc: 42.34 rpm (0.706 rev/s)
#   Speed Fraction: 75.00 %Nc
#   Angular Velocity omega: 3.3254 rad/s
#   Tip Speed: 1.663 m/s
#   Permeability K_perm: 4.7407e-9 m^2
#   Pore Shear Rate: 9055.7 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,15665.235,52093.365,0.00,0.00,1.9201,0.0000,971.2288,3.4924e-5
0.0220,2.0000e-3,937.478,3117.501,1.57,10.49,1.8277,0.9998,1278.1868,1.0253e-5
0.0420,2.0000e-3,857.541,2851.678,1.56,10.49,2.0266,0.9998,1290.2555,8.3468e-6
0.0620,2.0000e-3,822.592,2735.457,1.56,10.38,2.2073,0.9999,1300.1154,6.9740e-6
0.0820,2.0000e-3,829.467,2758.321,1.59,10.25,2.2877,0.9998,1308.9382,6.3504e-6
0.1020,2.0000e-3,818.349,2721.347,1.61,10.11,2.3077,0.9999,1316.5769,5.7439e-6
0.1220,2.0000e-3,780.268,2594.713,1.58,10.05,2.2964,0.9999,1324.1276,5.1774e-6
0.1420,2.0000e-3,753.307,2505.056,1.57,10.00,2.2623,0.9999,1331.4486,4.8200e-6
0.1620,2.0000e-3,742.142,2467.929,1.57,9.91,2.2152,0.9999,1338.2824,5.0060e-6
0.1820,2.0000e-3,733.352,2438.698,1.56,9.83,2.2031,0.9999,1344.7398,5.0719e-6
0.2020,2.0000e-3,727.232,2418.347,1.56,9.74,2.2139,0.9999,1350.8931,5.1275e-6
0.2220,2.0000e-3,722.524,2402.690,1.56,9.66,2.2259,0.9997,1356.7880,5.2594e-6
0.2420,2.0000e-3,717.273,2385.230,1.56,9.57,2.2289,0.9997,1362.4275,5.1929e-6
0.2620,2.0000e-3,710.607,2363.061,1.55,9.48,2.2249,0.9998,1367.7769,5.1889e-6
0.2820,2.0000e-3,705.500,2346.079,1.55,9.36,2.2171,0.9999,1372.7844,5.2103e-6
0.3020,2.0000e-3,711.577,2366.288,1.56,9.25,2.2079,0.9999,1377.4212,5.1383e-6
0.3220,2.0000e-3,740.282,2461.742,1.58,9.14,2.1933,0.9999,1382.1165,5.0143e-6
0.3420,2.0000e-3,733.379,2438.788,1.59,9.05,2.1635,0.9999,1386.4840,4.8368e-6
0.3620,2.0000e-3,711.105,2364.716,1.57,8.97,2.1413,0.9999,1390.8761,4.8552e-6
0.3820,2.0000e-3,698.578,2323.060,1.58,8.83,2.1043,0.9999,1395.2005,4.8527e-6
0.4020,2.0000e-3,694.052,2308.008,1.57,8.67,2.0634,0.9999,1400.1315,4.9573e-6
0.4220,2.0000e-3,690.893,2297.505,1.55,8.57,2.0733,0.9999,1405.4465,5.0261e-6
0.4420,2.0000e-3,688.283,2288.825,1.55,8.47,2.0876,0.9998,1410.6567,5.2289e-6
0.4620,2.0000e-3,687.567,2286.445,1.55,8.37,2.0943,0.9997,1415.7407,5.2684e-6
0.4820,2.0000e-3,685.963,2281.111,1.54,8.26,2.0946,0.9997,1420.6762,5.1131e-6
0.5020,2.0000e-3,683.058,2271.450,1.54,8.15,2.0987,0.9998,1425.3913,5.2496e-6
0.5220,2.0000e-3,679.884,2260.894,1.54,8.02,2.0971,0.9999,1429.7719,5.1946e-6
0.5420,2.0000e-3,696.097,2314.810,1.55,7.89,2.0899,0.9999,1433.8444,5.0895e-6
0.5620,2.0000e-3,719.792,2393.605,1.58,7.77,2.0791,0.9999,1437.8124,4.9980e-6
0.5820,2.0000e-3,711.256,2365.219,1.57,7.69,2.0625,0.9999,1441.3328,4.8326e-6
0.6020,2.0000e-3,690.892,2297.501,1.55,7.64,2.0443,0.9998,1444.9001,4.8631e-6
0.6220,2.0000e-3,682.070,2268.163,1.56,7.56,2.0230,0.9998,1448.5241,4.9036e-6
0.6420,2.0000e-3,681.216,2265.323,1.57,7.41,2.0603,0.9998,1452.1669,4.9775e-6
0.6620,2.0000e-3,679.139,2258.418,1.56,7.26,2.1300,0.9998,1456.3997,5.1274e-6
0.6820,2.0000e-3,675.949,2247.810,1.54,7.13,2.1622,0.9997,1461.0005,5.2703e-6
0.7020,2.0000e-3,671.513,2233.056,1.54,7.02,2.1638,0.9995,1465.5331,5.1925e-6
0.7220,2.0000e-3,666.692,2217.027,1.53,6.91,2.1464,0.9996,1469.7296,5.1721e-6
0.7420,2.0000e-3,660.482,2196.376,1.53,6.79,2.1275,0.9995,1473.4854,5.2397e-6
0.7620,2.0000e-3,657.475,2186.375,1.54,6.67,2.1117,0.9997,1476.8296,5.1690e-6
0.7820,2.0000e-3,677.749,2253.796,1.55,6.55,2.0960,0.9996,1480.1333,5.0470e-6
0.8020,2.0000e-3,699.403,2325.803,1.57,6.45,2.0809,0.9996,1483.3046,4.9602e-6
0.8220,2.0000e-3,689.212,2291.914,1.57,6.37,2.0620,0.9995,1486.2385,4.8027e-6
0.8420,2.0000e-3,671.723,2233.755,1.54,6.31,2.0448,0.9998,1489.4738,4.8976e-6
0.8620,2.0000e-3,667.804,2220.723,1.55,6.20,2.0265,0.9998,1493.0398,4.9695e-6
0.8820,2.0000e-3,668.789,2224.000,1.54,6.07,2.0082,0.9997,1497.0604,5.0391e-6
0.9020,2.0000e-3,669.250,2225.532,1.54,5.93,1.9879,0.9997,1501.1970,5.1853e-6
0.9220,2.0000e-3,669.971,2227.931,1.53,5.79,1.9655,0.9996,1505.4151,5.2792e-6
0.9420,2.0000e-3,667.507,2219.735,1.52,5.67,1.9417,0.9994,1509.7155,5.1089e-6
0.9620,2.0000e-3,663.794,2207.387,1.51,5.55,1.9137,0.9995,1513.8168,5.2425e-6
0.9820,2.0000e-3,658.945,2191.264,1.51,5.42,1.8815,0.9996,1517.5454,5.2450e-6
1.0020,2.0000e-3,657.702,2187.132,1.51,5.31,1.8396,0.9996,1520.8323,5.0985e-6
1.0220,2.0000e-3,682.260,2268.795,1.53,5.18,1.8206,0.9997,1523.9180,4.9800e-6
1.0420,2.0000e-3,696.819,2317.210,1.55,5.09,1.8304,0.9998,1526.5304,4.9475e-6
1.0620,2.0000e-3,680.032,2261.386,1.55,5.01,1.8268,0.9998,1528.7025,4.7856e-6
1.0820,2.0000e-3,662.438,2202.880,1.53,4.95,1.8253,0.9998,1530.9695,4.9177e-6
