# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-16T11:31:24.906Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   millRpm (Mill Speed): 31.755347989391172 rpm
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.3 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.002 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Viscosity / Consistency (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 0.7 -
#   tauY (Yield Stress (τy)): 20 Pa
#   m (Regularization (m)): 50 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 128 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 12 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 8.000 mm
#   Critical Speed Nc: 42.34 rpm (0.706 rev/s)
#   Speed Fraction: 75.00 %Nc
#   Angular Velocity omega: 3.3254 rad/s
#   Tip Speed: 1.663 m/s
#   Permeability K_perm: 4.7407e-9 m^2
#   Pore Shear Rate: 9055.7 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,54887.586,182523.851,0.00,0.00,1.8305,0.0000,1012.7690,3.6074e-5
0.0220,2.0000e-3,2873.609,9555.934,1.35,8.69,1.7308,0.9406,1347.6073,6.6338e-6
0.0420,2.0000e-3,2692.689,8954.301,1.34,8.46,1.7305,0.9555,1361.6797,5.5473e-6
0.0620,2.0000e-3,2640.301,8780.090,1.35,8.25,1.7396,0.9660,1371.1534,5.5832e-6
0.0820,2.0000e-3,2644.422,8793.793,1.36,8.04,1.7360,0.9695,1379.1216,5.3393e-6
0.1020,2.0000e-3,2632.072,8752.725,1.35,7.87,1.7475,0.9698,1385.9607,4.8231e-6
0.1220,2.0000e-3,2585.775,8598.769,1.36,7.70,1.7283,0.9694,1392.1467,4.9182e-6
0.1420,2.0000e-3,2540.647,8448.700,1.35,7.55,1.7287,0.9680,1398.1347,4.9985e-6
0.1620,2.0000e-3,2515.835,8366.188,1.34,7.38,1.7293,0.9612,1403.9200,5.4194e-6
0.1820,2.0000e-3,2509.243,8344.268,1.34,7.20,1.7298,0.9472,1409.3664,5.7056e-6
0.2020,2.0000e-3,2502.943,8323.317,1.34,7.01,1.7302,0.9389,1414.5299,5.6751e-6
0.2220,2.0000e-3,2501.399,8318.183,1.33,6.84,1.7298,0.9342,1419.3781,5.5999e-6
0.2420,2.0000e-3,2495.938,8300.024,1.33,6.67,1.7299,0.9340,1423.9717,5.5127e-6
0.2620,2.0000e-3,2489.322,8278.023,1.33,6.50,1.7301,0.9376,1428.3433,5.8003e-6
0.2820,2.0000e-3,2480.322,8248.095,1.34,6.36,1.7294,0.9450,1432.4305,5.7416e-6
0.3020,2.0000e-3,2506.755,8335.993,1.35,6.22,1.7289,0.9571,1436.4580,5.3575e-6
0.3220,2.0000e-3,2547.544,8471.635,1.35,6.10,1.7283,0.9640,1440.5642,5.1195e-6
0.3420,2.0000e-3,2550.819,8482.524,1.35,6.00,1.7280,0.9664,1444.4746,4.9818e-6
0.3620,2.0000e-3,2516.108,8367.096,1.35,5.92,1.7282,0.9670,1448.3790,4.7027e-6
0.3820,2.0000e-3,2489.248,8277.777,1.34,5.86,1.7287,0.9628,1452.6166,5.2699e-6
0.4020,2.0000e-3,2471.812,8219.795,1.34,5.78,1.7292,0.9555,1456.9860,5.4154e-6
0.4220,2.0000e-3,2469.857,8213.293,1.34,5.68,1.7296,0.9410,1461.3473,5.4636e-6
0.4420,2.0000e-3,2469.948,8213.596,1.33,5.57,1.7299,0.9318,1465.6097,5.7869e-6
