# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-15T16:31:51.075Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   speedFraction (Speed Fraction): 75 %Nc
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.3 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.002 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Consistency Index (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 0.7 -
#   tauY (Yield Stress (τy)): 20 Pa
#   m (Regularization (m)): 500 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 128 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 12 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 8.000 mm
#   Critical Speed Nc: 42.34 rpm (0.706 rev/s)
#   Angular Velocity omega: 3.3254 rad/s
#   Tip Speed: 1.663 m/s
#   Permeability K_perm: 4.7407e-9 m^2
#   Pore Shear Rate: 9055.7 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,54959.009,182761.364,0.00,0.00,1.8418,0.0000,1010.3244,3.6375e-5
0.0220,2.0000e-3,2851.643,9482.888,1.35,8.70,1.7209,0.9982,1340.2085,7.0198e-6
0.0420,2.0000e-3,2666.305,8866.563,1.34,8.47,1.7207,0.9978,1354.1778,5.5329e-6
0.0620,2.0000e-3,2619.407,8710.607,1.35,8.27,1.7554,0.9983,1363.5755,5.5658e-6
0.0820,2.0000e-3,2622.692,8721.532,1.35,8.07,1.7524,0.9980,1371.4473,5.3168e-6
0.1020,2.0000e-3,2607.890,8672.311,1.34,7.89,1.7684,0.9981,1378.1812,4.7975e-6
0.1220,2.0000e-3,2560.285,8514.003,1.35,7.73,1.7316,0.9979,1384.2558,4.8940e-6
0.1420,2.0000e-3,2515.784,8366.018,1.34,7.58,1.7186,0.9979,1390.1309,4.9806e-6
0.1620,2.0000e-3,2491.273,8284.509,1.34,7.41,1.7193,0.9981,1395.7945,5.4083e-6
0.1820,2.0000e-3,2479.267,8244.584,1.33,7.24,1.7200,0.9979,1401.1208,5.6993e-6
0.2020,2.0000e-3,2473.668,8225.967,1.33,7.06,1.7206,0.9943,1406.1551,5.6723e-6
0.2220,2.0000e-3,2472.479,8222.011,1.33,6.88,1.7206,0.9945,1410.8605,5.6010e-6
0.2420,2.0000e-3,2467.066,8204.011,1.33,6.72,1.7197,0.9961,1415.3111,5.5154e-6
0.2620,2.0000e-3,2461.244,8184.649,1.33,6.55,1.7201,0.9968,1419.5343,5.7879e-6
0.2820,2.0000e-3,2453.700,8159.563,1.33,6.41,1.7197,0.9974,1423.4771,5.7306e-6
0.3020,2.0000e-3,2487.275,8271.216,1.35,6.27,1.7195,0.9976,1427.3800,5.3441e-6
0.3220,2.0000e-3,2526.523,8401.732,1.34,6.15,1.7189,0.9981,1431.3339,5.1043e-6
0.3420,2.0000e-3,2525.450,8398.162,1.34,6.05,1.7180,0.9977,1435.1159,4.9569e-6
0.3620,2.0000e-3,2490.225,8281.024,1.34,5.98,1.7181,0.9978,1438.8819,4.6772e-6
0.3820,2.0000e-3,2462.831,8189.929,1.34,5.92,1.7186,0.9978,1442.9659,5.2507e-6
0.4020,2.0000e-3,2447.249,8138.112,1.33,5.84,1.7192,0.9979,1447.1869,5.4024e-6
0.4220,2.0000e-3,2442.721,8123.054,1.33,5.75,1.7199,0.9976,1451.4015,5.4578e-6
