# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-16T05:35:24.477Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   millRpm (Mill Speed): 31.755347989391172 rpm
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.3 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.002 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Viscosity / Consistency (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 0.7 -
#   tauY (Yield Stress (τy)): 20 Pa
#   m (Regularization (m)): 1000 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 10000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 128 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 12 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 8.000 mm
#   Critical Speed Nc: 42.34 rpm (0.706 rev/s)
#   Speed Fraction: 75.00 %Nc
#   Angular Velocity omega: 3.3254 rad/s
#   Tip Speed: 1.663 m/s
#   Permeability K_perm: 4.7407e-9 m^2
#   Pore Shear Rate: 9055.7 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,55030.455,182998.951,0.00,0.00,1.8418,0.0000,1010.0590,3.6375e-5
0.0220,2.0000e-3,2850.175,9478.007,1.35,8.70,1.7209,0.9998,1340.2249,7.0199e-6
0.0420,2.0000e-3,2666.865,8868.424,1.34,8.47,1.7207,0.9997,1354.1913,5.5331e-6
0.0620,2.0000e-3,2620.900,8715.572,1.35,8.27,1.7555,0.9998,1363.5836,5.5657e-6
0.0820,2.0000e-3,2623.684,8724.830,1.35,8.07,1.7526,0.9999,1371.4556,5.3155e-6
0.1020,2.0000e-3,2606.737,8668.476,1.34,7.89,1.7685,0.9999,1378.1967,4.7981e-6
0.1220,2.0000e-3,2560.054,8513.237,1.35,7.73,1.7316,0.9998,1384.2655,4.8943e-6
0.1420,2.0000e-3,2516.009,8366.767,1.34,7.59,1.7186,0.9998,1390.1405,4.9806e-6
0.1620,2.0000e-3,2490.700,8282.604,1.34,7.42,1.7193,0.9995,1395.8058,5.4078e-6
0.1820,2.0000e-3,2479.932,8246.798,1.33,7.24,1.7200,0.9998,1401.1290,5.7003e-6
0.2020,2.0000e-3,2474.504,8228.746,1.33,7.07,1.7206,0.9993,1406.1705,5.6727e-6
0.2220,2.0000e-3,2471.847,8219.910,1.33,6.89,1.7206,0.9993,1410.8781,5.6014e-6
0.2420,2.0000e-3,2466.996,8203.777,1.33,6.73,1.7197,0.9995,1415.3354,5.5148e-6
0.2620,2.0000e-3,2461.272,8184.743,1.33,6.56,1.7201,0.9997,1419.5541,5.7905e-6
0.2820,2.0000e-3,2452.935,8157.021,1.33,6.43,1.7197,0.9997,1423.4944,5.7291e-6
0.3020,2.0000e-3,2487.650,8272.462,1.35,6.28,1.7194,0.9997,1427.3976,5.3421e-6
0.3220,2.0000e-3,2525.030,8396.764,1.34,6.17,1.7189,0.9998,1431.3497,5.1027e-6
0.3420,2.0000e-3,2525.129,8397.096,1.34,6.07,1.7180,0.9998,1435.1322,4.9577e-6
0.3620,2.0000e-3,2490.137,8280.733,1.34,6.00,1.7181,0.9998,1438.9067,4.6769e-6
0.3820,2.0000e-3,2463.612,8192.525,1.34,5.94,1.7186,0.9998,1442.9767,5.2505e-6
0.4020,2.0000e-3,2446.727,8136.377,1.33,5.87,1.7192,0.9998,1447.1900,5.4022e-6
0.4220,2.0000e-3,2443.101,8124.318,1.33,5.77,1.7199,0.9996,1451.3868,5.4591e-6
0.4420,2.0000e-3,2441.862,8120.197,1.33,5.66,1.7204,0.9994,1455.4851,5.7853e-6
0.4620,2.0000e-3,2441.132,8117.770,1.33,5.54,1.7203,0.9991,1459.4110,5.7258e-6
0.4820,2.0000e-3,2437.800,8106.691,1.33,5.42,1.7197,0.9995,1463.1894,5.7608e-6
0.5020,2.0000e-3,2431.578,8085.999,1.33,5.31,1.7199,0.9995,1466.7189,5.7344e-6
0.5220,2.0000e-3,2434.462,8095.590,1.33,5.21,1.7195,0.9993,1469.9970,5.3978e-6
0.5420,2.0000e-3,2469.797,8213.094,1.35,5.09,1.7193,0.9996,1473.3149,5.3806e-6
0.5620,2.0000e-3,2504.379,8328.092,1.34,5.00,1.7187,0.9998,1476.6188,5.1536e-6
0.5820,2.0000e-3,2488.958,8276.812,1.34,4.91,1.7178,0.9997,1479.7735,4.6707e-6
0.6020,2.0000e-3,2458.936,8176.975,1.34,4.84,1.7182,0.9997,1482.9575,5.0252e-6
0.6220,2.0000e-3,2430.312,8081.788,1.33,4.79,1.7187,0.9997,1486.4999,5.0633e-6
0.6420,2.0000e-3,2426.947,8070.599,1.33,4.71,1.7194,0.9998,1490.1366,5.4341e-6
0.6620,2.0000e-3,2419.421,8045.573,1.33,4.62,1.7200,0.9997,1493.7204,5.7454e-6
0.6820,2.0000e-3,2425.926,8067.205,1.33,4.52,1.7205,0.9993,1497.2382,5.7258e-6
0.7020,2.0000e-3,2426.313,8068.493,1.32,4.42,1.7201,0.9992,1500.6478,5.4750e-6
0.7220,2.0000e-3,2423.015,8057.525,1.32,4.33,1.7199,0.9992,1503.9215,5.4740e-6
0.7420,2.0000e-3,2421.017,8050.880,1.33,4.24,1.7199,0.9993,1507.0532,5.7159e-6
0.7620,2.0000e-3,2424.915,8063.843,1.33,4.14,1.7195,0.9995,1510.0975,5.6643e-6
0.7820,2.0000e-3,2466.049,8200.629,1.34,4.04,1.7192,0.9996,1513.2961,5.3108e-6
0.8020,2.0000e-3,2494.981,8296.841,1.33,3.96,1.7185,0.9997,1516.3778,5.0317e-6
0.8220,2.0000e-3,2475.532,8232.166,1.34,3.88,1.7179,0.9997,1519.3645,4.8391e-6
0.8420,2.0000e-3,2448.038,8140.737,1.33,3.82,1.7184,0.9998,1522.4616,4.7840e-6
0.8620,2.0000e-3,2422.776,8056.729,1.33,3.77,1.7190,0.9998,1525.8643,5.3260e-6
0.8820,2.0000e-3,2423.483,8059.079,1.32,3.70,1.7197,0.9996,1529.2620,5.5082e-6
0.9020,2.0000e-3,2420.994,8050.802,1.32,3.62,1.7203,0.9994,1532.6135,5.4490e-6
