# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-15T16:37:37.818Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   speedFraction (Speed Fraction): 75 %Nc
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.3 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.002 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Consistency Index (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 0.7 -
#   tauY (Yield Stress (τy)): 20 Pa
#   m (Regularization (m)): 1000 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 128 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 24 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 8.000 mm
#   Critical Speed Nc: 42.34 rpm (0.706 rev/s)
#   Angular Velocity omega: 3.3254 rad/s
#   Tip Speed: 1.663 m/s
#   Permeability K_perm: 4.7407e-9 m^2
#   Pore Shear Rate: 9055.7 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,55853.940,185737.376,0.00,0.00,1.8404,0.0000,1005.1366,3.6373e-5
0.0220,2.0000e-3,2858.226,9504.779,1.35,8.65,1.7209,0.9982,1340.3425,7.0150e-6
0.0420,2.0000e-3,2673.500,8890.490,1.33,8.43,1.7207,0.9980,1354.2804,5.5346e-6
0.0620,2.0000e-3,2626.761,8735.065,1.35,8.23,1.7546,0.9982,1363.6625,5.5671e-6
0.0820,2.0000e-3,2630.532,8747.602,1.35,8.03,1.7513,0.9983,1371.5389,5.3184e-6
0.1020,2.0000e-3,2614.718,8695.014,1.34,7.86,1.7679,0.9980,1378.2959,4.7993e-6
0.1220,2.0000e-3,2567.048,8536.491,1.35,7.69,1.7314,0.9988,1384.3916,4.8928e-6
0.1420,2.0000e-3,2522.759,8389.212,1.34,7.54,1.7186,0.9984,1390.2816,4.9803e-6
0.1620,2.0000e-3,2498.520,8308.608,1.33,7.37,1.7193,0.9984,1395.9630,5.4089e-6
0.1820,2.0000e-3,2488.932,8276.723,1.33,7.20,1.7200,0.9976,1401.3056,5.6997e-6
0.2020,2.0000e-3,2482.125,8254.087,1.33,7.01,1.7206,0.9943,1406.3594,5.6722e-6
0.2220,2.0000e-3,2479.035,8243.815,1.33,6.83,1.7206,0.9948,1411.0873,5.6022e-6
0.2420,2.0000e-3,2472.917,8223.467,1.33,6.66,1.7197,0.9965,1415.5481,5.5176e-6
0.2620,2.0000e-3,2468.163,8207.659,1.33,6.49,1.7201,0.9966,1419.7806,5.7850e-6
0.2820,2.0000e-3,2462.663,8189.369,1.33,6.35,1.7197,0.9971,1423.7363,5.7304e-6
0.3020,2.0000e-3,2494.761,8296.108,1.35,6.20,1.7195,0.9974,1427.6550,5.3459e-6
0.3220,2.0000e-3,2533.998,8426.588,1.34,6.08,1.7189,0.9982,1431.6223,5.1055e-6
0.3420,2.0000e-3,2532.475,8421.525,1.34,5.97,1.7180,0.9980,1435.4050,4.9569e-6
0.3620,2.0000e-3,2498.349,8308.041,1.34,5.89,1.7181,0.9981,1439.1793,4.6770e-6
0.3820,2.0000e-3,2470.664,8215.975,1.34,5.83,1.7186,0.9981,1443.2705,5.2510e-6
0.4020,2.0000e-3,2455.878,8166.806,1.33,5.75,1.7192,0.9971,1447.5009,5.4033e-6
0.4220,2.0000e-3,2450.651,8149.424,1.33,5.65,1.7199,0.9964,1451.7242,5.4582e-6
0.4420,2.0000e-3,2451.357,8151.773,1.33,5.53,1.7205,0.9934,1455.8526,5.7856e-6
0.4620,2.0000e-3,2448.908,8143.629,1.33,5.41,1.7203,0.9926,1459.8290,5.7267e-6
0.4820,2.0000e-3,2444.891,8130.269,1.33,5.29,1.7197,0.9962,1463.6183,5.7614e-6
0.5020,2.0000e-3,2442.528,8122.411,1.33,5.18,1.7199,0.9968,1467.1626,5.7352e-6
0.5220,2.0000e-3,2443.520,8125.710,1.33,5.07,1.7195,0.9973,1470.4592,5.3972e-6
0.5420,2.0000e-3,2477.598,8239.033,1.35,4.95,1.7193,0.9969,1473.8299,5.3840e-6
0.5620,2.0000e-3,2514.507,8361.774,1.34,4.85,1.7187,0.9972,1477.1775,5.1552e-6
0.5820,2.0000e-3,2499.788,8312.825,1.34,4.76,1.7178,0.9966,1480.3775,4.6685e-6
0.6020,2.0000e-3,2469.240,8211.242,1.34,4.69,1.7182,0.9966,1483.6043,5.0274e-6
0.6220,2.0000e-3,2440.560,8115.868,1.33,4.63,1.7188,0.9962,1487.1763,5.0662e-6
0.6420,2.0000e-3,2435.302,8098.384,1.33,4.56,1.7194,0.9966,1490.8502,5.4373e-6
0.6620,2.0000e-3,2433.673,8092.967,1.33,4.46,1.7200,0.9949,1494.5085,5.7448e-6
0.6820,2.0000e-3,2435.652,8099.548,1.32,4.37,1.7205,0.9917,1498.1034,5.7261e-6
0.7020,2.0000e-3,2434.604,8096.063,1.32,4.27,1.7201,0.9912,1501.5921,5.4776e-6
0.7220,2.0000e-3,2431.791,8086.708,1.32,4.17,1.7199,0.9931,1504.9517,5.4761e-6
0.7420,2.0000e-3,2430.851,8083.580,1.33,4.08,1.7199,0.9942,1508.1700,5.7179e-6
0.7620,2.0000e-3,2437.697,8106.347,1.33,3.99,1.7195,0.9943,1511.2671,5.6656e-6
0.7820,2.0000e-3,2478.787,8242.987,1.34,3.88,1.7192,0.9942,1514.5333,5.3094e-6
0.8020,2.0000e-3,2506.637,8335.603,1.33,3.80,1.7186,0.9930,1517.7056,5.0283e-6
0.8220,2.0000e-3,2487.024,8270.381,1.34,3.71,1.7180,0.9952,1520.7671,4.8349e-6
0.8420,2.0000e-3,2458.075,8174.113,1.33,3.66,1.7184,0.9953,1523.9484,4.7853e-6
0.8620,2.0000e-3,2433.858,8093.580,1.33,3.60,1.7191,0.9953,1527.4136,5.3288e-6
0.8820,2.0000e-3,2431.690,8086.373,1.32,3.53,1.7197,0.9939,1530.9051,5.5114e-6
0.9020,2.0000e-3,2428.396,8075.419,1.32,3.45,1.7204,0.9925,1534.3434,5.4502e-6
0.9220,2.0000e-3,2433.740,8093.190,1.32,3.36,1.7206,0.9869,1537.6838,5.7990e-6
0.9420,2.0000e-3,2432.419,8088.795,1.32,3.27,1.7200,0.9880,1540.8962,5.7229e-6
0.9620,2.0000e-3,2430.194,8081.395,1.32,3.18,1.7203,0.9897,1543.9646,5.7890e-6
0.9820,2.0000e-3,2430.116,8081.139,1.32,3.10,1.7202,0.9912,1546.8554,5.7089e-6
1.0020,2.0000e-3,2448.105,8140.959,1.33,3.01,1.7198,0.9924,1549.6432,5.3067e-6
1.0220,2.0000e-3,2489.425,8278.366,1.34,2.91,1.7195,0.9934,1552.5442,5.3629e-6
1.0420,2.0000e-3,2508.642,8342.270,1.33,2.84,1.7187,0.9940,1555.2418,5.1007e-6
