# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-16T11:38:13.979Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   millRpm (Mill Speed): 31.755347989391172 rpm
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.3 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.002 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Viscosity / Consistency (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 0.7 -
#   tauY (Yield Stress (τy)): 20 Pa
#   m (Regularization (m)): 1000 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 128 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 64 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 8.000 mm
#   Critical Speed Nc: 42.34 rpm (0.706 rev/s)
#   Speed Fraction: 75.00 %Nc
#   Angular Velocity omega: 3.3254 rad/s
#   Tip Speed: 1.663 m/s
#   Permeability K_perm: 4.7407e-9 m^2
#   Pore Shear Rate: 9055.7 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,57133.339,189991.906,0.00,0.00,1.8259,0.0000,995.1741,3.6122e-5
0.0220,2.0000e-3,2881.834,9583.288,1.35,8.57,1.7309,0.9973,1347.9881,6.6220e-6
0.0420,2.0000e-3,2702.425,8986.678,1.34,8.35,1.7306,0.9988,1362.0018,5.5513e-6
0.0620,2.0000e-3,2651.307,8816.690,1.35,8.15,1.7382,0.9987,1371.4339,5.5857e-6
0.0820,2.0000e-3,2656.346,8833.445,1.36,7.96,1.7352,0.9985,1379.3867,5.3416e-6
0.1020,2.0000e-3,2643.034,8789.176,1.35,7.78,1.7460,0.9988,1386.2539,4.8235e-6
0.1220,2.0000e-3,2596.278,8633.694,1.36,7.62,1.7283,0.9985,1392.4658,4.9171e-6
0.1420,2.0000e-3,2552.352,8487.624,1.35,7.47,1.7287,0.9990,1398.4693,4.9984e-6
0.1620,2.0000e-3,2528.773,8409.212,1.34,7.30,1.7293,0.9986,1404.2741,5.4207e-6
0.1820,2.0000e-3,2522.596,8388.672,1.34,7.11,1.7298,0.9985,1409.7503,5.7063e-6
0.2020,2.0000e-3,2516.075,8366.988,1.34,6.93,1.7302,0.9980,1414.9429,5.6750e-6
0.2220,2.0000e-3,2511.280,8351.040,1.33,6.74,1.7298,0.9957,1419.8157,5.6008e-6
0.2420,2.0000e-3,2504.472,8328.400,1.33,6.57,1.7299,0.9925,1424.4227,5.5170e-6
0.2620,2.0000e-3,2501.336,8317.975,1.33,6.40,1.7301,0.9984,1428.8215,5.7963e-6
0.2820,2.0000e-3,2495.146,8297.388,1.34,6.25,1.7294,0.9991,1432.9345,5.7418e-6
0.3020,2.0000e-3,2520.894,8383.012,1.35,6.10,1.7289,0.9991,1437.0071,5.3600e-6
0.3220,2.0000e-3,2560.768,8515.609,1.35,5.97,1.7283,0.9989,1441.1472,5.1206e-6
0.3420,2.0000e-3,2563.603,8525.037,1.35,5.87,1.7280,0.9988,1445.0797,4.9801e-6
0.3620,2.0000e-3,2528.829,8409.399,1.35,5.78,1.7282,0.9988,1449.0059,4.7027e-6
0.3820,2.0000e-3,2499.978,8313.457,1.34,5.71,1.7287,0.9986,1453.2548,5.2700e-6
0.4020,2.0000e-3,2485.930,8266.741,1.34,5.62,1.7292,0.9982,1457.6513,5.4159e-6
0.4220,2.0000e-3,2483.435,8258.446,1.34,5.51,1.7296,0.9967,1462.0358,5.4634e-6
0.4420,2.0000e-3,2483.377,8258.252,1.33,5.40,1.7299,0.9967,1466.3507,5.7873e-6
0.4620,2.0000e-3,2480.400,8248.353,1.33,5.27,1.7294,0.9950,1470.5155,5.7271e-6
0.4820,2.0000e-3,2477.942,8240.179,1.33,5.15,1.7298,0.9909,1474.4933,5.7766e-6
0.5020,2.0000e-3,2476.857,8236.572,1.33,5.03,1.7298,0.9952,1478.2441,5.7490e-6
0.5220,2.0000e-3,2476.094,8234.033,1.33,4.92,1.7291,0.9966,1481.7560,5.4101e-6
0.5420,2.0000e-3,2504.393,8328.140,1.35,4.80,1.7287,0.9963,1485.3400,5.3968e-6
0.5620,2.0000e-3,2544.438,8461.304,1.34,4.70,1.7280,0.9964,1488.9134,5.1749e-6
0.5820,2.0000e-3,2533.207,8423.958,1.35,4.60,1.7280,0.9955,1492.3380,4.7393e-6
0.6020,2.0000e-3,2501.789,8319.479,1.35,4.52,1.7283,0.9959,1495.8118,5.0517e-6
0.6220,2.0000e-3,2472.033,8220.528,1.34,4.46,1.7288,0.9961,1499.5934,5.0844e-6
0.6420,2.0000e-3,2466.815,8203.176,1.33,4.39,1.7293,0.9965,1503.4772,5.4478e-6
0.6620,2.0000e-3,2465.216,8197.860,1.33,4.29,1.7297,0.9959,1507.3522,5.7490e-6
0.6820,2.0000e-3,2468.930,8210.209,1.33,4.19,1.7299,0.9953,1511.1725,5.7275e-6
0.7020,2.0000e-3,2467.542,8205.594,1.33,4.09,1.7291,0.9934,1514.8934,5.4768e-6
0.7220,2.0000e-3,2465.962,8200.341,1.33,3.99,1.7300,0.9910,1518.4822,5.4896e-6
0.7420,2.0000e-3,2466.550,8202.297,1.33,3.90,1.7298,0.9942,1521.9359,5.7323e-6
0.7620,2.0000e-3,2471.754,8219.599,1.33,3.80,1.7291,0.9928,1525.2860,5.6807e-6
0.7820,2.0000e-3,2507.317,8337.864,1.35,3.70,1.7286,0.9912,1528.7792,5.3253e-6
0.8020,2.0000e-3,2538.954,8443.069,1.34,3.61,1.7280,0.9922,1532.1904,5.0461e-6
0.8220,2.0000e-3,2521.025,8383.449,1.35,3.52,1.7281,0.9934,1535.4637,4.8622e-6
0.8420,2.0000e-3,2491.328,8284.693,1.34,3.46,1.7285,0.9927,1538.8349,4.8065e-6
0.8620,2.0000e-3,2466.739,8202.926,1.33,3.41,1.7291,0.9932,1542.4806,5.3445e-6
0.8820,2.0000e-3,2463.464,8192.032,1.33,3.33,1.7297,0.9939,1546.1530,5.5211e-6
0.9020,2.0000e-3,2465.166,8197.695,1.33,3.24,1.7301,0.9925,1549.7769,5.4547e-6
0.9220,2.0000e-3,2468.066,8207.336,1.32,3.15,1.7301,0.9906,1553.3073,5.8018e-6
0.9420,2.0000e-3,2466.453,8201.974,1.32,3.05,1.7297,0.9889,1556.7073,5.7254e-6
0.9620,2.0000e-3,2466.258,8201.325,1.32,2.96,1.7305,0.9880,1559.9609,5.8020e-6
0.9820,2.0000e-3,2465.709,8199.499,1.32,2.87,1.7301,0.9897,1563.0511,5.7220e-6
1.0020,2.0000e-3,2480.024,8247.104,1.33,2.78,1.7294,0.9902,1566.0435,5.3219e-6
1.0220,2.0000e-3,2519.049,8376.877,1.34,2.68,1.7290,0.9923,1569.1227,5.3812e-6
1.0420,2.0000e-3,2542.362,8454.402,1.33,2.60,1.7286,0.9934,1571.9762,5.1278e-6
1.0620,2.0000e-3,2516.896,8369.716,1.34,2.52,1.7288,0.9949,1574.5930,4.8705e-6
1.0820,2.0000e-3,2486.719,8269.365,1.33,2.47,1.7294,0.9938,1577.2989,5.1350e-6
1.1020,2.0000e-3,2470.834,8216.543,1.32,2.42,1.7300,0.9932,1580.1429,5.1956e-6
1.1220,2.0000e-3,2465.943,8200.276,1.32,2.35,1.7305,0.9925,1582.9240,5.5304e-6
1.1420,2.0000e-3,2469.767,8212.994,1.32,2.27,1.7308,0.9896,1585.5869,5.8145e-6
1.1620,2.0000e-3,2472.972,8223.652,1.31,2.19,1.7307,0.9857,1588.0969,5.8157e-6
1.1820,2.0000e-3,2474.521,8228.801,1.31,2.11,1.7311,0.9791,1590.4319,5.6102e-6
1.2020,2.0000e-3,2476.923,8236.790,1.31,2.04,1.7315,0.9777,1592.5389,5.6037e-6
1.2220,2.0000e-3,2475.871,8233.292,1.31,1.96,1.7308,0.9802,1594.3905,5.6561e-6
1.2420,2.0000e-3,2495.620,8298.965,1.32,1.88,1.7302,0.9775,1596.1194,5.6211e-6
1.2620,2.0000e-3,2535.800,8432.581,1.33,1.81,1.7297,0.9777,1597.8284,5.2908e-6
1.2820,2.0000e-3,2549.635,8478.586,1.32,1.74,1.7299,0.9785,1599.2274,4.9803e-6
1.3020,2.0000e-3,2521.830,8386.124,1.33,1.69,1.7302,0.9753,1600.3855,4.8990e-6
1.3220,2.0000e-3,2493.706,8292.599,1.32,1.66,1.7307,0.9777,1601.6333,4.9633e-6
1.3420,2.0000e-3,2478.407,8241.725,1.31,1.63,1.7312,0.9828,1602.9397,5.4832e-6
1.3620,2.0000e-3,2477.582,8238.982,1.31,1.58,1.7316,0.9822,1604.1153,5.6906e-6
1.3820,2.0000e-3,2479.669,8245.921,1.30,1.53,1.7318,0.9815,1605.1475,5.6131e-6
1.4020,2.0000e-3,2484.733,8262.762,1.30,1.48,1.7313,0.9780,1605.9824,5.7822e-6
1.4220,2.0000e-3,2483.874,8259.904,1.30,1.43,1.7325,0.9691,1606.5735,5.6266e-6
1.4420,2.0000e-3,2485.136,8264.101,1.30,1.39,1.7326,0.9698,1606.9020,5.8537e-6
1.4620,2.0000e-3,2485.366,8264.865,1.30,1.37,1.7318,0.9706,1606.9591,5.7585e-6
1.4820,2.0000e-3,2510.050,8346.952,1.32,1.33,1.7311,0.9748,1606.8979,5.3192e-6
1.5020,2.0000e-3,2549.905,8479.486,1.32,1.29,1.7309,0.9733,1606.7354,5.3000e-6
1.5220,2.0000e-3,2553.195,8490.428,1.32,1.27,1.7310,0.9763,1606.2436,5.0113e-6
1.5420,2.0000e-3,2523.021,8390.086,1.32,1.27,1.7312,0.9835,1605.6136,4.8204e-6
1.5620,2.0000e-3,2495.554,8298.747,1.31,1.30,1.7317,0.9885,1605.2113,5.2981e-6
1.5820,2.0000e-3,2480.369,8248.251,1.30,1.32,1.7321,0.9890,1604.9322,5.3697e-6
1.6020,2.0000e-3,2482.318,8254.731,1.30,1.32,1.7323,0.9879,1604.6587,5.6593e-6
1.6220,2.0000e-3,2485.109,8264.011,1.30,1.31,1.7323,0.9896,1604.3682,5.9114e-6
1.6420,2.0000e-3,2486.046,8267.129,1.30,1.31,1.7317,0.9812,1604.0278,5.7989e-6
1.6620,2.0000e-3,2486.896,8269.955,1.30,1.31,1.7330,0.9656,1603.6316,5.7313e-6
1.6820,2.0000e-3,2488.976,8276.870,1.30,1.31,1.7328,0.9641,1603.1313,5.6781e-6
1.7020,2.0000e-3,2492.008,8286.955,1.31,1.31,1.7318,0.9633,1602.5004,5.6213e-6
1.7220,2.0000e-3,2517.594,8372.038,1.32,1.29,1.7311,0.9629,1601.9523,5.5222e-6
1.7420,2.0000e-3,2555.509,8498.122,1.31,1.27,1.7310,0.9651,1601.4280,5.1994e-6
1.7620,2.0000e-3,2547.863,8472.696,1.32,1.25,1.7310,0.9711,1600.7573,4.8780e-6
1.7820,2.0000e-3,2516.990,8370.028,1.32,1.27,1.7313,0.9740,1600.1115,5.0398e-6
1.8020,2.0000e-3,2490.270,8281.174,1.31,1.30,1.7318,0.9836,1599.8043,5.0805e-6
1.8220,2.0000e-3,2482.565,8255.552,1.30,1.31,1.7321,0.9841,1599.6324,5.5593e-6
1.8420,2.0000e-3,2484.153,8260.833,1.30,1.31,1.7323,0.9841,1599.5089,5.8037e-6
1.8620,2.0000e-3,2485.622,8265.716,1.30,1.31,1.7322,0.9740,1599.3813,5.7088e-6
1.8820,2.0000e-3,2487.056,8270.485,1.30,1.30,1.7321,0.9655,1599.1986,5.6836e-6
